date,home_team,away_team,home_score,away_score,tournament,neutral,country
2003-01-01,Uruguay B,Uruguay,0,2,World Cup qualification,False,Uruguay B
2003-01-04,Ivory Coast,Senegal,1,0,Friendly,False,Ivory Coast
2003-01-08,Saudi Arabia,Brazil,1,2,Copa America,False,Saudi Arabia
2003-01-12,Wales,Cameroon,1,3,Friendly,True,Neutral
2003-01-16,Mexico,Austria,1,0,World Cup qualification,False,Mexico
2003-01-20,Iran,Australia,3,1,UEFA Euro,True,Neutral
2003-01-24,Egypt,Brazil,1,2,World Cup qualification,False,Egypt
2003-01-28,Serbia,Italy,1,2,Friendly,False,Serbia
2003-01-31,Ecuador,Spain,1,4,World Cup qualification,True,Neutral
2003-02-04,Germany,Nigeria,1,0,Nations League,False,Germany
2003-02-08,Cameroon,Ecuador,2,1,Friendly,False,Cameroon
2003-02-12,Argentina,Austria,3,0,Friendly,False,Argentina
2003-02-16,Wales,Ivory Coast,1,2,World Cup qualification,False,Wales
2003-02-20,Norway,Turkey,2,1,World Cup qualification,False,Norway
2003-02-24,Egypt,Algeria,1,2,World Cup qualification,False,Egypt
2003-02-27,Ecuador,Senegal,1,2,Friendly,True,Neutral
2003-03-03,Denmark,Senegal,4,1,World Cup qualification,False,Denmark
2003-03-07,Costa Rica,Uruguay B,0,1,Nations League,False,Costa Rica
2003-03-11,Chile,France,1,3,Friendly,False,Chile
2003-03-15,Saudi Arabia,Ukraine,1,2,Copa America,False,Saudi Arabia
2003-03-19,Tunisia,Costa Rica,2,0,Friendly,False,Tunisia
2003-03-23,Turkey,Mexico,1,5,Friendly,False,Turkey
2003-03-26,Mexico,Belgium,0,1,UEFA Euro,True,Neutral
2003-03-30,Wales,Ecuador,0,2,World Cup qualification,False,Wales
2003-04-03,Iran,Belgium,1,3,Friendly,True,Neutral
2003-04-07,Italy,Portugal,2,2,World Cup qualification,True,Neutral
2003-04-11,Ivory Coast,Chile,2,3,Friendly,False,Ivory Coast
2003-04-15,Australia,USA,1,0,Copa America,False,Australia
2003-04-19,Poland,Iran,1,1,Friendly,False,Poland
2003-04-22,Portugal,Cameroon,3,1,Friendly,True,Neutral
2003-04-26,Australia,Peru,2,0,World Cup qualification,True,Neutral
2003-04-30,Panama,Croatia,0,0,Nations League,True,Neutral
2003-05-04,Egypt,France,1,4,World Cup qualification,False,Egypt
2003-05-08,Tunisia,Japan,1,0,FIFA World Cup,False,Tunisia
2003-05-12,Uruguay B,England,1,2,World Cup qualification,True,Neutral
2003-05-16,Argentina,Croatia,6,2,Friendly,False,Argentina
2003-05-20,Germany,Senegal,3,1,World Cup qualification,True,Neutral
2003-05-23,Serbia,France,0,2,World Cup qualification,False,Serbia
2003-05-27,Colombia,Ivory Coast,0,1,Friendly,True,Neutral
2003-05-31,Panama,Switzerland,1,2,Friendly,False,Panama
2003-06-04,Saudi Arabia,France,0,2,Nations League,False,Saudi Arabia
2003-06-08,Canada,Denmark,0,1,Friendly,False,Canada
2003-06-12,Serbia,Canada,0,2,Copa America,True,Neutral
2003-06-16,Norway,Nigeria,1,2,World Cup qualification,False,Norway
2003-06-19,Norway,Argentina,0,4,FIFA World Cup,True,Neutral
2003-06-23,Croatia,Argentina,0,2,Friendly,False,Croatia
2003-06-27,Ivory Coast,Saudi Arabia,6,0,World Cup qualification,False,Ivory Coast
2003-07-01,Ukraine,Norway,1,1,FIFA World Cup,False,Ukraine
