date,season,team,player,club,competition,minutes,starts,goals,assists,xg,xa,cards,source_url
2003-06-01,2002-2003,Algeria,Algeria Player 1,Algeria FC,Sample club season,2342,26,2.97,0.0,4.52,0.17,2.8,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 2,Algeria FC,Sample club season,3206,35,0.0,0.0,0.02,0.7,4.88,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 3,Algeria FC,Sample club season,3161,35,0.0,0.0,1.44,0.78,7.27,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 4,Algeria FC,Sample club season,3009,33,2.52,0.0,3.75,0.58,4.32,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 5,Algeria FC,Sample club season,3176,35,0.71,0.35,1.62,0.62,6.38,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 6,Algeria FC,Sample club season,1016,11,0.4,1.57,1.0,1.25,0.23,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 7,Algeria FC,Sample club season,836,9,2.34,0.93,2.85,0.73,2.36,synthetic://sample-data
2003-06-01,2002-2003,Algeria,Algeria Player 8,Algeria FC,Sample club season,1096,12,0.66,1.28,1.64,1.28,3.27,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 1,Argentina FC,Sample club season,2526,28,1.97,0.31,2.09,0.56,3.7,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 2,Argentina FC,Sample club season,2844,31,2.0,3.02,3.34,2.49,5.76,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 3,Argentina FC,Sample club season,3043,33,1.3,1.51,1.59,1.08,2.92,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 4,Argentina FC,Sample club season,2370,26,2.51,0.99,2.2,1.59,5.4,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 5,Argentina FC,Sample club season,1957,21,2.43,1.66,2.26,1.55,2.44,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 6,Argentina FC,Sample club season,933,10,6.3,3.65,6.39,3.97,2.8,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 7,Argentina FC,Sample club season,1519,16,4.92,3.33,5.28,3.02,3.91,synthetic://sample-data
2003-06-01,2002-2003,Argentina,Argentina Player 8,Argentina FC,Sample club season,569,6,6.72,4.43,6.82,5.07,3.58,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 1,Australia FC,Sample club season,2826,31,0.21,0.0,1.16,0.0,2.74,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 2,Australia FC,Sample club season,3297,36,1.96,0.78,1.03,0.92,3.6,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 3,Australia FC,Sample club season,3120,34,0.0,0.05,0.09,1.1,2.37,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 4,Australia FC,Sample club season,3261,36,0.0,0.0,0.41,0.69,6.6,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 5,Australia FC,Sample club season,3561,39,0.0,1.32,0.19,1.4,4.03,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 6,Australia FC,Sample club season,1362,15,3.31,0.07,2.69,0.23,1.9,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 7,Australia FC,Sample club season,1207,13,0.07,1.35,1.34,1.98,3.03,synthetic://sample-data
2003-06-01,2002-2003,Australia,Australia Player 8,Australia FC,Sample club season,1730,19,3.26,0.0,2.25,0.0,0.21,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 1,Austria FC,Sample club season,1868,20,1.2,0.0,1.05,0.0,2.54,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 2,Austria FC,Sample club season,3474,38,3.12,0.23,3.58,0.85,3.26,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 3,Austria FC,Sample club season,2512,27,1.42,1.47,1.11,0.8,2.47,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 4,Austria FC,Sample club season,3203,35,0.27,1.31,0.3,1.27,3.73,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 5,Austria FC,Sample club season,3092,34,0.24,2.28,0.0,2.13,5.28,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 6,Austria FC,Sample club season,1240,13,3.22,0.85,3.33,0.63,3.28,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 7,Austria FC,Sample club season,627,6,1.37,2.11,1.28,2.26,2.1,synthetic://sample-data
2003-06-01,2002-2003,Austria,Austria Player 8,Austria FC,Sample club season,811,9,1.6,2.13,2.16,2.59,3.66,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 1,Belgium FC,Sample club season,3418,37,0.0,0.63,0.36,0.85,4.87,synthetic://sample-data
