as_of_date,team,player,position,club,squad_status,availability_status,injury_type,expected_return,is_probable_starter,source_url
2003-01-01,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-01-01,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 1,GK,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-04-02,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
