date,team,injured_players,suspended_players,squad_market_value_eur,xg_for_10,xg_against_10
2003-01-01,Algeria,0,0,1085490788.0,1.406,1.07
2003-04-02,Algeria,0,1,1045380256.0,1.685,1.135
2003-07-02,Algeria,1,0,1125535406.0,1.42,1.127
2003-10-01,Algeria,2,0,1043189782.0,1.328,1.079
2003-12-31,Algeria,2,0,1078492119.0,1.508,1.257
2004-03-31,Algeria,0,0,1094591307.0,1.328,1.202
2004-06-30,Algeria,0,0,1080951612.0,1.325,0.889
2004-09-29,Algeria,0,2,1142369412.0,1.574,1.244
2004-12-29,Algeria,0,0,1119217890.0,1.541,0.884
2005-03-30,Algeria,2,1,1087628134.0,1.448,1.201
2005-06-29,Algeria,0,1,1115574479.0,1.372,1.313
2005-09-28,Algeria,2,0,1138592655.0,1.719,0.914
2005-12-28,Algeria,0,0,1070600052.0,1.639,0.96
2006-03-29,Algeria,1,0,1061523495.0,1.487,1.377
2006-06-28,Algeria,3,0,1078415440.0,1.495,1.147
2006-09-27,Algeria,0,0,1110036389.0,1.436,1.116
2006-12-27,Algeria,1,0,1057609080.0,1.651,1.229
2007-03-28,Algeria,2,0,1177885345.0,1.327,1.053
2007-06-27,Algeria,0,0,1090304869.0,1.479,1.314
2007-09-26,Algeria,0,0,1110633956.0,1.13,0.932
2007-12-26,Algeria,4,0,1097449860.0,1.346,1.04
2008-03-26,Algeria,4,0,1098631511.0,1.484,1.312
2008-06-25,Algeria,0,0,1161117926.0,1.564,1.424
2008-09-24,Algeria,1,0,1117588367.0,1.532,1.18
2008-12-24,Algeria,0,0,1134867349.0,1.338,1.169
2009-03-25,Algeria,0,0,1110060771.0,1.498,1.164
2009-06-24,Algeria,0,0,1112439614.0,1.453,1.237
2009-09-23,Algeria,2,0,1083898462.0,1.494,1.063
2009-12-23,Algeria,2,0,1101051322.0,1.217,1.418
2010-03-24,Algeria,1,1,1109808296.0,1.6,1.22
2010-06-23,Algeria,1,0,1110892759.0,1.431,1.244
2010-09-22,Algeria,2,0,1151588667.0,1.595,1.072
2010-12-22,Algeria,2,1,1106548443.0,1.296,1.045
2011-03-23,Algeria,2,0,1100043847.0,1.614,1.11
2011-06-22,Algeria,0,0,1087941503.0,1.496,1.235
2011-09-21,Algeria,3,1,1090220104.0,1.598,1.408
2011-12-21,Algeria,0,0,1122194693.0,1.608,1.091
2012-03-21,Algeria,1,1,1038767724.0,1.357,1.241
2012-06-20,Algeria,1,0,1063306989.0,1.526,1.147
2012-09-19,Algeria,2,0,1087851987.0,1.165,1.046
2012-12-19,Algeria,0,0,1102154950.0,1.521,1.118
2013-03-20,Algeria,1,1,1069084935.0,1.344,1.379
2013-06-19,Algeria,1,0,1109156989.0,1.351,1.191
2013-09-18,Algeria,2,0,1089670114.0,1.473,0.978
2013-12-18,Algeria,2,0,1106578249.0,1.179,0.977
2014-03-19,Algeria,0,0,1081769546.0,1.345,1.176
2014-06-18,Algeria,1,0,1099463120.0,1.577,1.169
2014-09-17,Algeria,0,0,1017334926.0,1.429,1.018
2014-12-17,Algeria,0,0,1128737067.0,1.584,1.178
2015-03-18,Algeria,2,0,1116831693.0,1.398,1.341
2015-06-17,Algeria,2,0,1017029285.0,1.603,1.235
2015-09-16,Algeria,0,0,1111947024.0,1.079,1.115
2015-12-16,Algeria,1,0,1065951714.0,1.121,1.235
2016-03-16,Algeria,1,0,1055800330.0,1.518,1.083
2016-06-15,Algeria,0,1,1110304034.0,1.448,1.263
2016-09-14,Algeria,2,0,1130554233.0,1.509,1.065
2016-12-14,Algeria,1,0,1062791997.0,1.361,1.135
2017-03-15,Algeria,1,0,1113741320.0,1.377,1.204
2017-06-14,Algeria,2,0,1117090536.0,1.419,1.028
2017-09-13,Algeria,1,0,1084916738.0,1.669,1.298
2017-12-13,Algeria,1,0,1092419800.0,1.593,1.166
2018-03-14,Algeria,0,0,1105775975.0,1.27,0.96
2018-06-13,Algeria,0,1,1123246712.0,1.775,0.927
2018-09-12,Algeria,1,0,1057441683.0,1.645,1.224
2018-12-12,Algeria,1,0,1128886395.0,1.193,1.084
2019-03-13,Algeria,0,1,1087082411.0,1.339,1.217
2019-06-12,Algeria,0,0,1151492136.0,1.49,1.121
2019-09-11,Algeria,2,0,1122405998.0,1.472,1.12
2019-12-11,Algeria,0,0,1078935403.0,1.553,1.258
2020-03-11,Algeria,0,1,1107654404.0,1.441,1.268
2020-06-10,Algeria,4,0,1097627561.0,1.305,1.197
2020-09-09,Algeria,0,0,1111490725.0,1.361,1.101
2020-12-09,Algeria,3,0,1091003933.0,1.487,0.995
2021-03-10,Algeria,2,1,1122933238.0,1.568,1.176
2021-06-09,Algeria,1,0,1099778680.0,1.569,0.962
2021-09-08,Algeria,3,0,1139015541.0,1.611,1.275
2021-12-08,Algeria,0,0,1072757972.0,1.619,1.177
2022-03-09,Algeria,1,0,1074356140.0,1.525,1.201
