as_of_date,team,average_age,total_caps,coach_tenure_days,fifa_confederation,source_url
2003-01-01,Algeria,25.29,436,832,AFC,synthetic://sample-data
2003-07-02,Algeria,27.38,436,915,AFC,synthetic://sample-data
2003-12-31,Algeria,28.09,394,396,AFC,synthetic://sample-data
2004-06-30,Algeria,26.8,366,827,AFC,synthetic://sample-data
2004-12-29,Algeria,25.55,406,445,AFC,synthetic://sample-data
2005-06-29,Algeria,26.17,373,495,AFC,synthetic://sample-data
2005-12-28,Algeria,23.71,415,950,AFC,synthetic://sample-data
2006-06-28,Algeria,24.91,402,336,AFC,synthetic://sample-data
2006-12-27,Algeria,27.69,428,872,AFC,synthetic://sample-data
2007-06-27,Algeria,28.71,357,105,AFC,synthetic://sample-data
2007-12-26,Algeria,27.15,413,753,AFC,synthetic://sample-data
2008-06-25,Algeria,23.73,402,943,AFC,synthetic://sample-data
2008-12-24,Algeria,24.72,434,383,AFC,synthetic://sample-data
2009-06-24,Algeria,23.99,426,360,AFC,synthetic://sample-data
2009-12-23,Algeria,24.83,398,628,AFC,synthetic://sample-data
2010-06-23,Algeria,26.04,413,835,AFC,synthetic://sample-data
2010-12-22,Algeria,27.38,474,495,AFC,synthetic://sample-data
2011-06-22,Algeria,29.65,443,221,AFC,synthetic://sample-data
2011-12-21,Algeria,25.68,489,818,AFC,synthetic://sample-data
2012-06-20,Algeria,25.55,401,730,AFC,synthetic://sample-data
2012-12-19,Algeria,25.65,445,599,AFC,synthetic://sample-data
2013-06-19,Algeria,25.2,448,744,AFC,synthetic://sample-data
2013-12-18,Algeria,24.12,402,855,AFC,synthetic://sample-data
2014-06-18,Algeria,26.51,433,846,AFC,synthetic://sample-data
2014-12-17,Algeria,25.0,371,860,AFC,synthetic://sample-data
2015-06-17,Algeria,26.09,421,270,AFC,synthetic://sample-data
2015-12-16,Algeria,27.74,465,988,AFC,synthetic://sample-data
2016-06-15,Algeria,26.48,413,611,AFC,synthetic://sample-data
2016-12-14,Algeria,25.02,434,1432,AFC,synthetic://sample-data
2017-06-14,Algeria,27.08,451,249,AFC,synthetic://sample-data
2017-12-13,Algeria,26.18,411,425,AFC,synthetic://sample-data
2018-06-13,Algeria,29.07,509,1361,AFC,synthetic://sample-data
2018-12-12,Algeria,26.51,440,340,AFC,synthetic://sample-data
2019-06-12,Algeria,26.96,412,154,AFC,synthetic://sample-data
2019-12-11,Algeria,26.46,415,485,AFC,synthetic://sample-data
2020-06-10,Algeria,26.15,402,563,AFC,synthetic://sample-data
2020-12-09,Algeria,23.97,490,1271,AFC,synthetic://sample-data
2021-06-09,Algeria,25.4,477,678,AFC,synthetic://sample-data
2021-12-08,Algeria,29.28,433,714,AFC,synthetic://sample-data
2022-06-08,Algeria,25.46,432,463,AFC,synthetic://sample-data
2022-12-07,Algeria,27.9,465,1127,AFC,synthetic://sample-data
2023-06-07,Algeria,27.37,406,1004,AFC,synthetic://sample-data
2023-12-06,Algeria,24.72,437,166,AFC,synthetic://sample-data
2024-06-05,Algeria,24.17,375,353,AFC,synthetic://sample-data
2024-12-04,Algeria,25.95,422,1040,AFC,synthetic://sample-data
2025-06-04,Algeria,26.32,393,784,AFC,synthetic://sample-data
2025-12-03,Algeria,22.49,473,283,AFC,synthetic://sample-data
2003-01-01,Argentina,24.42,1264,191,CAF,synthetic://sample-data
2003-07-02,Argentina,27.04,1307,488,CAF,synthetic://sample-data
2003-12-31,Argentina,24.44,1310,537,CAF,synthetic://sample-data
2004-06-30,Argentina,26.26,1209,583,CAF,synthetic://sample-data
2004-12-29,Argentina,28.68,1236,529,CAF,synthetic://sample-data
2005-06-29,Argentina,23.81,1290,1321,CAF,synthetic://sample-data
2005-12-28,Argentina,27.24,1238,964,CAF,synthetic://sample-data
2006-06-28,Argentina,24.38,1263,511,CAF,synthetic://sample-data
2006-12-27,Argentina,27.76,1283,842,CAF,synthetic://sample-data
2007-06-27,Argentina,27.25,1230,1062,CAF,synthetic://sample-data
2007-12-26,Argentina,28.57,1259,586,CAF,synthetic://sample-data
2008-06-25,Argentina,22.82,1261,628,CAF,synthetic://sample-data
2008-12-24,Argentina,26.73,1252,724,CAF,synthetic://sample-data
2009-06-24,Argentina,27.42,1269,620,CAF,synthetic://sample-data
2009-12-23,Argentina,25.18,1220,835,CAF,synthetic://sample-data
2010-06-23,Argentina,23.46,1250,1081,CAF,synthetic://sample-data
2010-12-22,Argentina,27.56,1258,293,CAF,synthetic://sample-data
2011-06-22,Argentina,25.8,1265,895,CAF,synthetic://sample-data
2011-12-21,Argentina,27.93,1236,655,CAF,synthetic://sample-data
2012-06-20,Argentina,28.42,1247,870,CAF,synthetic://sample-data
2012-12-19,Argentina,24.7,1299,914,CAF,synthetic://sample-data
2013-06-19,Argentina,27.95,1260,412,CAF,synthetic://sample-data
2013-12-18,Argentina,26.14,1263,1010,CAF,synthetic://sample-data
2014-06-18,Argentina,29.42,1249,535,CAF,synthetic://sample-data
2014-12-17,Argentina,24.91,1265,764,CAF,synthetic://sample-data
2015-06-17,Argentina,24.95,1227,1362,CAF,synthetic://sample-data
2015-12-16,Argentina,26.72,1185,520,CAF,synthetic://sample-data
2016-06-15,Argentina,23.82,1283,141,CAF,synthetic://sample-data
2016-12-14,Argentina,24.09,1242,517,CAF,synthetic://sample-data
2017-06-14,Argentina,26.56,1248,423,CAF,synthetic://sample-data
2017-12-13,Argentina,24.63,1220,399,CAF,synthetic://sample-data
2018-06-13,Argentina,30.14,1240,1608,CAF,synthetic://sample-data
2018-12-12,Argentina,25.0,1261,851,CAF,synthetic://sample-data
2019-06-12,Argentina,28.91,1235,1090,CAF,synthetic://sample-data
2019-12-11,Argentina,21.0,1208,430,CAF,synthetic://sample-data
2020-06-10,Argentina,27.04,1233,1221,CAF,synthetic://sample-data
2020-12-09,Argentina,26.04,1275,278,CAF,synthetic://sample-data
2021-06-09,Argentina,27.8,1237,605,CAF,synthetic://sample-data
2021-12-08,Argentina,26.12,1286,812,CAF,synthetic://sample-data
2022-06-08,Argentina,23.31,1264,62,CAF,synthetic://sample-data
2022-12-07,Argentina,24.97,1242,1239,CAF,synthetic://sample-data
2023-06-07,Argentina,32.38,1250,968,CAF,synthetic://sample-data
2023-12-06,Argentina,25.87,1275,842,CAF,synthetic://sample-data
2024-06-05,Argentina,24.92,1227,937,CAF,synthetic://sample-data
2024-12-04,Argentina,26.78,1256,705,CAF,synthetic://sample-data
2025-06-04,Argentina,27.11,1271,1249,CAF,synthetic://sample-data
2025-12-03,Argentina,25.05,1218,861,CAF,synthetic://sample-data
2003-01-01,Australia,25.13,428,486,CONCACAF,synthetic://sample-data
2003-07-02,Australia,28.27,299,571,CONCACAF,synthetic://sample-data
2003-12-31,Australia,25.18,423,1324,CONCACAF,synthetic://sample-data
2004-06-30,Australia,27.18,403,514,CONCACAF,synthetic://sample-data
2004-12-29,Australia,23.15,373,842,CONCACAF,synthetic://sample-data
2005-06-29,Australia,27.54,337,416,CONCACAF,synthetic://sample-data
2005-12-28,Australia,27.95,382,498,CONCACAF,synthetic://sample-data
2006-06-28,Australia,25.16,356,414,CONCACAF,synthetic://sample-data
2006-12-27,Australia,23.99,382,328,CONCACAF,synthetic://sample-data
2007-06-27,Australia,24.31,361,739,CONCACAF,synthetic://sample-data
2007-12-26,Australia,26.47,372,67,CONCACAF,synthetic://sample-data
2008-06-25,Australia,25.9,392,1131,CONCACAF,synthetic://sample-data
2008-12-24,Australia,25.57,436,1461,CONCACAF,synthetic://sample-data
2009-06-24,Australia,27.7,433,358,CONCACAF,synthetic://sample-data
2009-12-23,Australia,25.98,432,1089,CONCACAF,synthetic://sample-data
2010-06-23,Australia,25.63,439,796,CONCACAF,synthetic://sample-data
2010-12-22,Australia,25.17,354,718,CONCACAF,synthetic://sample-data
2011-06-22,Australia,28.23,421,1431,CONCACAF,synthetic://sample-data
2011-12-21,Australia,27.87,423,828,CONCACAF,synthetic://sample-data
2012-06-20,Australia,27.05,364,81,CONCACAF,synthetic://sample-data
2012-12-19,Australia,26.05,335,716,CONCACAF,synthetic://sample-data
2013-06-19,Australia,26.41,443,278,CONCACAF,synthetic://sample-data
2013-12-18,Australia,24.3,408,867,CONCACAF,synthetic://sample-data
2014-06-18,Australia,30.6,328,204,CONCACAF,synthetic://sample-data
2014-12-17,Australia,24.45,431,409,CONCACAF,synthetic://sample-data
2015-06-17,Australia,25.26,420,938,CONCACAF,synthetic://sample-data
2015-12-16,Australia,27.34,404,1743,CONCACAF,synthetic://sample-data
2016-06-15,Australia,25.44,409,1126,CONCACAF,synthetic://sample-data
2016-12-14,Australia,29.61,484,128,CONCACAF,synthetic://sample-data
2017-06-14,Australia,28.47,410,376,CONCACAF,synthetic://sample-data
2017-12-13,Australia,26.31,450,316,CONCACAF,synthetic://sample-data
2018-06-13,Australia,28.74,429,553,CONCACAF,synthetic://sample-data
2018-12-12,Australia,22.85,332,332,CONCACAF,synthetic://sample-data
2019-06-12,Australia,28.43,421,950,CONCACAF,synthetic://sample-data
2019-12-11,Australia,27.71,418,663,CONCACAF,synthetic://sample-data
2020-06-10,Australia,28.26,378,150,CONCACAF,synthetic://sample-data
2020-12-09,Australia,26.22,477,505,CONCACAF,synthetic://sample-data
2021-06-09,Australia,23.97,415,696,CONCACAF,synthetic://sample-data
2021-12-08,Australia,26.48,346,828,CONCACAF,synthetic://sample-data
2022-06-08,Australia,26.77,404,319,CONCACAF,synthetic://sample-data
2022-12-07,Australia,25.73,420,638,CONCACAF,synthetic://sample-data
2023-06-07,Australia,28.92,307,866,CONCACAF,synthetic://sample-data
2023-12-06,Australia,27.16,431,941,CONCACAF,synthetic://sample-data
2024-06-05,Australia,25.36,408,1034,CONCACAF,synthetic://sample-data
2024-12-04,Australia,24.86,356,747,CONCACAF,synthetic://sample-data
2025-06-04,Australia,30.2,420,1129,CONCACAF,synthetic://sample-data
2025-12-03,Australia,24.94,301,1289,CONCACAF,synthetic://sample-data
2003-01-01,Austria,22.59,717,904,CONMEBOL,synthetic://sample-data
2003-07-02,Austria,25.57,555,349,CONMEBOL,synthetic://sample-data
2003-12-31,Austria,22.19,599,1111,CONMEBOL,synthetic://sample-data
2004-06-30,Austria,26.16,527,499,CONMEBOL,synthetic://sample-data
2004-12-29,Austria,27.59,603,738,CONMEBOL,synthetic://sample-data
2005-06-29,Austria,25.3,591,370,CONMEBOL,synthetic://sample-data
2005-12-28,Austria,25.88,616,828,CONMEBOL,synthetic://sample-data
2006-06-28,Austria,25.77,542,817,CONMEBOL,synthetic://sample-data
2006-12-27,Austria,29.16,607,1834,CONMEBOL,synthetic://sample-data
2007-06-27,Austria,29.06,625,799,CONMEBOL,synthetic://sample-data
2007-12-26,Austria,25.18,601,908,CONMEBOL,synthetic://sample-data
2008-06-25,Austria,27.87,609,851,CONMEBOL,synthetic://sample-data
2008-12-24,Austria,26.14,558,387,CONMEBOL,synthetic://sample-data
2009-06-24,Austria,24.19,609,631,CONMEBOL,synthetic://sample-data
2009-12-23,Austria,22.33,607,513,CONMEBOL,synthetic://sample-data
2010-06-23,Austria,24.27,684,942,CONMEBOL,synthetic://sample-data
2010-12-22,Austria,28.15,584,499,CONMEBOL,synthetic://sample-data
2011-06-22,Austria,26.34,550,363,CONMEBOL,synthetic://sample-data
2011-12-21,Austria,26.97,583,319,CONMEBOL,synthetic://sample-data
2012-06-20,Austria,26.8,599,640,CONMEBOL,synthetic://sample-data
2012-12-19,Austria,24.06,598,108,CONMEBOL,synthetic://sample-data
2013-06-19,Austria,26.15,653,1039,CONMEBOL,synthetic://sample-data
2013-12-18,Austria,28.88,591,993,CONMEBOL,synthetic://sample-data
2014-06-18,Austria,24.88,574,564,CONMEBOL,synthetic://sample-data
2014-12-17,Austria,26.28,634,472,CONMEBOL,synthetic://sample-data
2015-06-17,Austria,27.13,634,1233,CONMEBOL,synthetic://sample-data
2015-12-16,Austria,26.76,671,843,CONMEBOL,synthetic://sample-data
2016-06-15,Austria,28.31,640,343,CONMEBOL,synthetic://sample-data
2016-12-14,Austria,25.31,646,719,CONMEBOL,synthetic://sample-data
2017-06-14,Austria,30.46,678,632,CONMEBOL,synthetic://sample-data
2017-12-13,Austria,28.53,593,352,CONMEBOL,synthetic://sample-data
2018-06-13,Austria,26.53,609,692,CONMEBOL,synthetic://sample-data
2018-12-12,Austria,25.36,619,887,CONMEBOL,synthetic://sample-data
2019-06-12,Austria,25.62,705,1024,CONMEBOL,synthetic://sample-data
2019-12-11,Austria,26.6,634,343,CONMEBOL,synthetic://sample-data
2020-06-10,Austria,26.45,562,835,CONMEBOL,synthetic://sample-data
2020-12-09,Austria,27.31,622,341,CONMEBOL,synthetic://sample-data
2021-06-09,Austria,25.29,663,1244,CONMEBOL,synthetic://sample-data
2021-12-08,Austria,26.27,590,1264,CONMEBOL,synthetic://sample-data
2022-06-08,Austria,24.87,572,800,CONMEBOL,synthetic://sample-data
2022-12-07,Austria,26.19,586,330,CONMEBOL,synthetic://sample-data
2023-06-07,Austria,21.93,649,407,CONMEBOL,synthetic://sample-data
2023-12-06,Austria,21.0,629,667,CONMEBOL,synthetic://sample-data
2024-06-05,Austria,27.8,603,160,CONMEBOL,synthetic://sample-data
2024-12-04,Austria,24.96,620,180,CONMEBOL,synthetic://sample-data
2025-06-04,Austria,26.66,609,235,CONMEBOL,synthetic://sample-data
2025-12-03,Austria,22.0,620,1132,CONMEBOL,synthetic://sample-data
2003-01-01,Belgium,21.36,857,166,UEFA,synthetic://sample-data
2003-07-02,Belgium,29.11,871,712,UEFA,synthetic://sample-data
2003-12-31,Belgium,26.9,883,148,UEFA,synthetic://sample-data
2004-06-30,Belgium,23.76,788,786,UEFA,synthetic://sample-data
2004-12-29,Belgium,28.6,899,728,UEFA,synthetic://sample-data
