simulation_id,champion,runner_up,semi_finalists
0,England,Brazil,Argentina|Brazil|Croatia|England
1,Belgium,Italy,Argentina|Belgium|France|Italy
2,Argentina,Spain,Argentina|England|Portugal|Spain
3,England,Germany,Argentina|England|Germany|Portugal
4,England,Denmark,Denmark|England|Italy|Morocco
5,Argentina,Brazil,Argentina|Brazil|England|Germany
6,Denmark,Croatia,Croatia|Denmark|Netherlands|Uruguay
7,Portugal,Germany,Brazil|France|Germany|Portugal
8,Brazil,USA,Argentina|Brazil|France|USA
9,Mexico,France,Belgium|Denmark|France|Mexico
10,Argentina,France,Argentina|France|Mexico|Uruguay
11,Brazil,Denmark,Brazil|Colombia|Denmark|Morocco
12,France,England,England|France|Mexico|Morocco
13,Spain,Belgium,Belgium|Colombia|England|Spain
14,Portugal,England,Egypt|England|Germany|Portugal
15,Spain,Germany,Brazil|Germany|Portugal|Spain
16,Germany,England,Brazil|England|Germany|Spain
17,France,Switzerland,Argentina|France|Nigeria|Switzerland
18,France,Denmark,Belgium|Denmark|France|Spain
19,Netherlands,Argentina,Argentina|England|Netherlands|Portugal
20,France,Brazil,Belgium|Brazil|France|Germany
21,Brazil,South Korea,Brazil|Germany|Mexico|South Korea
22,Portugal,Italy,Italy|Mexico|Netherlands|Portugal
23,Italy,France,Argentina|France|Italy|Spain
24,Canada,England,Canada|England|Norway|Ukraine
25,France,Spain,France|Germany|Senegal|Spain
26,Switzerland,Spain,Argentina|France|Spain|Switzerland
27,Portugal,Ivory Coast,Argentina|Belgium|Ivory Coast|Portugal
28,Italy,France,Belgium|Denmark|France|Italy
29,Argentina,Portugal,Argentina|Colombia|Portugal|Spain
30,Portugal,Germany,Germany|Netherlands|Portugal|Senegal
31,Argentina,Spain,Argentina|Italy|Spain|Turkey
32,France,Portugal,France|Germany|Portugal|Spain
33,Brazil,Italy,Brazil|Germany|Italy|Uruguay B
34,Argentina,France,Argentina|England|France|Spain
35,Spain,Germany,Brazil|Germany|Spain|Ukraine
36,Belgium,Japan,Belgium|England|Japan|Portugal
37,Brazil,Argentina,Argentina|Brazil|Croatia|England
38,Brazil,Spain,Argentina|Brazil|Ivory Coast|Spain
39,Argentina,Italy,Argentina|Colombia|Italy|Serbia
40,Spain,Italy,Brazil|Germany|Italy|Spain
41,England,Belgium,Argentina|Belgium|England|Portugal
42,Croatia,Japan,Croatia|Italy|Japan|Wales
43,Portugal,England,England|Germany|Norway|Portugal
44,Argentina,Germany,Argentina|Germany|Italy|Portugal
45,Belgium,Germany,Belgium|France|Germany|Italy
46,Portugal,Argentina,Argentina|Ghana|Portugal|Spain
47,Portugal,Belgium,Belgium|Denmark|Portugal|USA
48,Germany,England,England|Germany|Italy|USA
49,France,Switzerland,Croatia|Denmark|France|Switzerland
50,Argentina,Spain,Argentina|France|Italy|Spain
51,Spain,Germany,Germany|Portugal|Spain|Uruguay
52,France,Brazil,Argentina|Brazil|France|Spain
53,Brazil,England,Argentina|Brazil|England|Morocco
54,Portugal,Italy,Argentina|Chile|Italy|Portugal
55,France,Austria,Austria|France|Netherlands|Spain
56,Morocco,England,Brazil|England|Morocco|Uruguay
57,Brazil,Germany,Brazil|Chile|France|Germany
58,Mexico,Italy,Germany|Italy|Mexico|Portugal
59,Argentina,Netherlands,Argentina|England|Netherlands|Turkey
60,France,England,England|France|Netherlands|Serbia
61,France,England,England|France|Germany|Portugal
62,France,Mexico,France|Italy|Mexico|Netherlands
63,Mexico,Morocco,Mexico|Morocco|Scotland|USA
64,France,Argentina,Argentina|France|Germany|Portugal
65,Spain,Canada,Brazil|Canada|Italy|Spain
66,Portugal,Austria,Austria|Mexico|Nigeria|Portugal
67,Belgium,France,Belgium|Denmark|France|Mexico
68,Belgium,Netherlands,Belgium|Brazil|Ghana|Netherlands
69,England,Germany,Argentina|England|Germany|Morocco
70,Argentina,Portugal,Argentina|France|Portugal|Uruguay
71,Spain,Argentina,Argentina|Brazil|Italy|Spain
72,Brazil,Uruguay,Argentina|Brazil|Morocco|Uruguay
73,Netherlands,Mexico,Brazil|Mexico|Netherlands|Portugal
74,Spain,England,England|Germany|Portugal|Spain
75,Portugal,Argentina,Argentina|Croatia|Panama|Portugal
76,Brazil,Germany,Brazil|England|Germany|Spain
77,Germany,Italy,Germany|Italy|Portugal|Spain
78,Brazil,Portugal,Argentina|Brazil|Germany|Portugal
79,England,Belgium,Belgium|England|Ivory Coast|Scotland
80,Germany,Argentina,Argentina|Brazil|Germany|Norway
81,Portugal,Switzerland,Croatia|Morocco|Portugal|Switzerland
82,France,Argentina,Argentina|England|France|Sweden
83,Spain,Italy,Belgium|Italy|Portugal|Spain
84,Argentina,Netherlands,Argentina|Italy|Netherlands|Spain
85,France,Argentina,Argentina|England|France|Germany
86,Brazil,Argentina,Argentina|Brazil|Germany|Italy
87,Brazil,Germany,Argentina|Brazil|Germany|Mexico
88,Spain,Germany,Brazil|England|Germany|Spain
89,Croatia,England,Brazil|Croatia|England|Spain
90,Brazil,France,Brazil|Croatia|France|Germany
91,Portugal,England,England|Germany|Ivory Coast|Portugal
92,England,Argentina,Argentina|England|Mexico|Portugal
93,France,England,England|France|Norway|Spain
94,Portugal,France,France|Netherlands|Portugal|Qatar
95,Chile,Sweden,Brazil|Chile|Germany|Sweden
96,Germany,Austria,Austria|Germany|Switzerland|Uruguay
97,Portugal,Italy,Argentina|Belgium|Italy|Portugal
98,Portugal,Croatia,Croatia|England|Portugal|Switzerland
99,Argentina,Brazil,Argentina|Brazil|England|Morocco
100,Argentina,Brazil,Argentina|Brazil|Mexico|Turkey
101,Italy,France,Belgium|France|Italy|Morocco
102,Argentina,Belgium,Argentina|Belgium|France|Uruguay
103,Netherlands,England,Belgium|Brazil|England|Netherlands
104,Brazil,Denmark,Argentina|Brazil|Denmark|Netherlands
105,Argentina,Switzerland,Argentina|Germany|Portugal|Switzerland
106,Netherlands,Argentina,Argentina|Brazil|Germany|Netherlands
107,Brazil,France,Argentina|Brazil|France|Spain
108,Brazil,Spain,Belgium|Brazil|Spain|Switzerland
109,Argentina,Portugal,Argentina|Belgium|Portugal|South Korea
110,France,Argentina,Argentina|France|Italy|Netherlands
111,Croatia,Spain,Brazil|Croatia|England|Spain
112,England,Mexico,Costa Rica|England|Ivory Coast|Mexico
113,Brazil,Switzerland,Argentina|Brazil|Germany|Switzerland
114,Argentina,Italy,Argentina|Belgium|Italy|Portugal
115,France,Spain,England|France|Germany|Spain
116,Belgium,Argentina,Argentina|Belgium|Colombia|Portugal
117,Italy,Morocco,England|Italy|Morocco|Netherlands
118,France,Denmark,Belgium|Denmark|France|Germany
119,England,Germany,England|France|Germany|Spain
120,Brazil,Argentina,Argentina|Brazil|Colombia|Nigeria
121,Belgium,Argentina,Argentina|Belgium|Brazil|Italy
122,Brazil,Portugal,Argentina|Brazil|Japan|Portugal
123,Uruguay,Netherlands,Netherlands|Portugal|Spain|Uruguay
124,Germany,Belgium,Belgium|Brazil|Germany|Switzerland
125,Spain,Canada,Argentina|Canada|Portugal|Spain
126,Brazil,Argentina,Argentina|Brazil|France|Netherlands
127,Belgium,Mexico,Belgium|Italy|Mexico|Portugal
128,Argentina,France,Argentina|Australia|France|Uruguay
129,France,England,Argentina|England|France|Germany
130,Germany,Spain,England|France|Germany|Spain
131,Portugal,Croatia,Cameroon|Croatia|Germany|Portugal
132,Portugal,England,Austria|Canada|England|Portugal
133,France,Spain,Belgium|France|Italy|Spain
134,Italy,Portugal,Ecuador|Germany|Italy|Portugal
135,France,Italy,France|Italy|Netherlands|Nigeria
136,Germany,Argentina,Argentina|Germany|Japan|Sweden
137,Portugal,Austria,Argentina|Austria|Germany|Portugal
138,Portugal,Morocco,Belgium|Italy|Morocco|Portugal
139,Argentina,France,Argentina|France|Italy|Spain
140,Argentina,France,Argentina|England|France|Netherlands
141,England,Brazil,Brazil|England|France|Qatar
142,Denmark,Mexico,Belgium|Brazil|Denmark|Mexico
143,England,Brazil,Argentina|Brazil|England|Japan
144,France,Brazil,Argentina|Brazil|France|Poland
145,Brazil,Italy,Argentina|Brazil|Italy|USA
146,Belgium,Spain,Belgium|Brazil|Senegal|Spain
147,Netherlands,Denmark,Brazil|Denmark|Netherlands|Nigeria
148,Brazil,England,Brazil|Croatia|England|Spain
149,Argentina,France,Argentina|Belgium|England|France
150,France,Italy,Belgium|France|Italy|Mexico
151,Argentina,Brazil,Argentina|Brazil|Spain|Uruguay
152,England,Italy,Belgium|Croatia|England|Italy
153,Brazil,England,Brazil|Ecuador|England|Spain
154,Argentina,Italy,Argentina|Brazil|Germany|Italy
155,Italy,Wales,Germany|Italy|Mexico|Wales
156,Brazil,Italy,Belgium|Brazil|Italy|Spain
157,Italy,Belgium,Belgium|France|Italy|Morocco
158,France,Germany,England|France|Germany|Portugal
159,Brazil,Spain,Argentina|Brazil|France|Spain
160,Netherlands,Italy,Argentina|France|Italy|Netherlands
161,France,Argentina,Argentina|England|France|Mexico
162,Brazil,England,Belgium|Brazil|England|Mexico
163,Brazil,Italy,Argentina|Brazil|Croatia|Italy
164,Argentina,France,Argentina|England|France|Germany
165,Argentina,Germany,Argentina|England|Germany|Portugal
166,Italy,Chile,Chile|Colombia|Germany|Italy
167,Spain,Belgium,Belgium|France|Italy|Spain
168,England,France,England|France|Germany|Spain
169,Portugal,Austria,Austria|Belgium|Portugal|Scotland
170,Germany,Spain,Colombia|England|Germany|Spain
171,Argentina,France,Argentina|Colombia|France|Germany
172,Brazil,Portugal,Brazil|France|Portugal|Spain
173,Colombia,Brazil,Argentina|Brazil|Colombia|Sweden
174,Argentina,France,Argentina|France|Spain|Sweden
175,Germany,Portugal,Canada|France|Germany|Portugal
176,France,Croatia,Croatia|France|Portugal|Spain
177,Brazil,Argentina,Argentina|Brazil|England|Netherlands
178,Argentina,Germany,Argentina|Colombia|Denmark|Germany
179,Argentina,Denmark,Argentina|Denmark|Netherlands|Senegal
180,England,France,Belgium|England|France|Morocco
181,Argentina,Canada,Argentina|Canada|Portugal|Uruguay
182,Brazil,Portugal,Argentina|Brazil|Portugal|Switzerland
183,Brazil,Belgium,Belgium|Brazil|Scotland|Spain
184,Argentina,Belgium,Argentina|Belgium|France|Portugal
185,Spain,Belgium,Belgium|England|France|Spain
186,Brazil,Uruguay,Brazil|England|Spain|Uruguay
187,Brazil,Argentina,Argentina|Brazil|Netherlands|Portugal
188,Brazil,England,Argentina|Belgium|Brazil|England
189,France,Spain,France|Germany|Italy|Spain
190,Argentina,Netherlands,Argentina|Netherlands|Nigeria|Portugal
191,Brazil,Germany,Brazil|France|Germany|Netherlands
192,Spain,France,Brazil|France|Morocco|Spain
193,Brazil,Argentina,Argentina|Belgium|Brazil|Switzerland
194,Germany,Italy,Brazil|Germany|Ghana|Italy
195,Germany,Spain,Brazil|France|Germany|Spain
196,Argentina,Morocco,Argentina|Brazil|France|Morocco
197,France,Spain,Brazil|Croatia|France|Spain
198,Uruguay B,France,Belgium|Denmark|France|Uruguay B
199,France,Argentina,Argentina|France|Norway|Portugal
200,Portugal,Colombia,Colombia|Italy|Portugal|USA
201,Ivory Coast,Poland,Brazil|Ivory Coast|Poland|Serbia
202,France,Argentina,Argentina|France|Italy|Mexico
203,Argentina,Belgium,Argentina|Belgium|Portugal|Uruguay
204,Morocco,Portugal,Austria|Belgium|Morocco|Portugal
205,France,Argentina,Argentina|France|Mexico|Saudi Arabia
206,Brazil,Italy,Brazil|Canada|France|Italy
207,Spain,Argentina,Argentina|Portugal|Spain|Switzerland
208,Netherlands,Portugal,Argentina|France|Netherlands|Portugal
209,Portugal,England,Argentina|Canada|England|Portugal
210,Portugal,Argentina,Argentina|Portugal|Spain|Uruguay
211,Portugal,Argentina,Argentina|Brazil|Portugal|Senegal
212,Argentina,France,Argentina|Colombia|England|France
213,France,Uruguay,Australia|Belgium|France|Uruguay
214,England,France,Belgium|England|France|Uruguay
215,Germany,Croatia,Croatia|France|Germany|Portugal
216,Italy,Turkey,Austria|Germany|Italy|Turkey
217,Brazil,France,Argentina|Brazil|France|Spain
218,Brazil,Senegal,Brazil|France|Senegal|Spain
219,Belgium,Brazil,Belgium|Brazil|Spain|Uruguay B
220,Argentina,Portugal,Argentina|Brazil|Egypt|Portugal
221,Morocco,Germany,Brazil|France|Germany|Morocco
222,England,Belgium,Argentina|Belgium|England|France
223,France,England,England|France|Ivory Coast|Morocco
224,Italy,Portugal,Austria|Croatia|Italy|Portugal
225,France,Spain,France|Germany|Spain|Uruguay
226,Brazil,Argentina,Argentina|Brazil|Croatia|Spain
227,Brazil,France,Belgium|Brazil|France|Spain
228,Argentina,Portugal,Argentina|Belgium|Italy|Portugal
229,Brazil,Germany,Brazil|Colombia|Croatia|Germany
230,England,Denmark,Denmark|England|Morocco|Poland
231,Italy,Portugal,Chile|Germany|Italy|Portugal
232,Argentina,Netherlands,Argentina|Belgium|Brazil|Netherlands
233,Italy,England,England|Italy|Morocco|Spain
234,Spain,Germany,Algeria|Germany|Italy|Spain
235,Brazil,Spain,Argentina|Brazil|Spain|Switzerland
236,England,Portugal,England|Portugal|Spain|USA
237,France,England,England|France|Mexico|Poland
238,France,Argentina,Argentina|France|Germany|Italy
239,Germany,England,England|France|Germany|Netherlands
240,Netherlands,Croatia,Croatia|Netherlands|Portugal|Sweden
241,Spain,Belgium,Belgium|Brazil|Spain|Uruguay
242,Argentina,England,Argentina|Ecuador|England|Portugal
243,Argentina,Spain,Argentina|Denmark|Spain|USA
244,England,Brazil,Argentina|Brazil|England|Scotland
245,Austria,Germany,Austria|Germany|Portugal|USA
246,Spain,England,Colombia|England|Germany|Spain
247,Brazil,Argentina,Argentina|Brazil|England|Netherlands
248,Spain,England,Brazil|England|Mexico|Spain
249,Portugal,England,Argentina|England|Portugal|USA
250,Spain,Argentina,Argentina|Portugal|Spain|Uruguay
251,Spain,Croatia,Croatia|Italy|Portugal|Spain
252,England,Mexico,Argentina|England|Mexico|USA
253,England,Netherlands,Argentina|Denmark|England|Netherlands
254,Argentina,Brazil,Argentina|Brazil|Denmark|Spain
255,Portugal,France,France|Poland|Portugal|Senegal
256,Germany,Italy,Croatia|Germany|Italy|Netherlands
257,Spain,Croatia,Croatia|Denmark|France|Spain
258,Argentina,Morocco,Argentina|Brazil|Morocco|Uruguay
259,France,Argentina,Argentina|France|Italy|Portugal
260,Portugal,Belgium,Belgium|Brazil|Netherlands|Portugal
261,Brazil,Sweden,Brazil|Germany|Serbia|Sweden
262,Brazil,Panama,Brazil|Croatia|England|Panama
263,Germany,Uruguay,Germany|Italy|Turkey|Uruguay
264,Portugal,Argentina,Argentina|Colombia|Ivory Coast|Portugal
265,Brazil,Italy,Belgium|Brazil|Germany|Italy
266,Portugal,Argentina,Argentina|Germany|Italy|Portugal
267,Italy,France,Egypt|France|Italy|Netherlands
268,Argentina,France,Argentina|Canada|England|France
269,Colombia,Croatia,Colombia|Croatia|Germany|Portugal
270,France,Portugal,Argentina|France|Germany|Portugal
271,Brazil,Mexico,Brazil|Colombia|Mexico|Spain
272,Argentina,Norway,Argentina|Brazil|Norway|Switzerland
273,Spain,Argentina,Argentina|Norway|Qatar|Spain
274,Netherlands,Italy,Italy|Netherlands|Switzerland|USA
275,Brazil,France,Brazil|France|Germany|Spain
276,France,Colombia,Belgium|Colombia|France|Spain
277,Argentina,Spain,Argentina|Norway|Spain|Switzerland
278,Germany,Portugal,Brazil|Germany|Netherlands|Portugal
279,Argentina,Portugal,Argentina|Portugal|Spain|Uruguay
280,Germany,France,Argentina|Brazil|France|Germany
281,Austria,Brazil,Austria|Brazil|Colombia|Spain
282,Spain,Argentina,Argentina|France|Spain|Uruguay
283,Argentina,Spain,Argentina|Brazil|England|Spain
284,Morocco,Italy,Egypt|Italy|Morocco|Uruguay B
285,Portugal,Norway,England|Norway|Portugal|Tunisia
286,France,England,England|France|Portugal|Serbia
287,Brazil,Italy,Austria|Brazil|Germany|Italy
288,Spain,Nigeria,Japan|Nigeria|Peru|Spain
289,Brazil,Serbia,Brazil|Germany|Italy|Serbia
290,Argentina,Portugal,Argentina|Portugal|USA|Uruguay
291,Italy,Spain,Italy|Poland|Scotland|Spain
