team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
Brazil,G,6.8838,0.6775,0.2389,0.0708,0.976,0.7629,0.5252,0.3791,0.2746,0.1691
France,D,6.9761,0.6616,0.2714,0.0544,0.9789,0.7577,0.4464,0.3258,0.2322,0.1413
Argentina,C,7.3059,0.8018,0.1444,0.0429,0.9848,0.7252,0.4824,0.357,0.1895,0.1251
England,J,6.4201,0.587,0.2684,0.112,0.9523,0.64,0.4171,0.2465,0.1707,0.0956
Portugal,H,7.057,0.6977,0.2371,0.0561,0.9832,0.6668,0.4896,0.2554,0.1745,0.0916
Spain,E,6.0539,0.4687,0.3622,0.1374,0.9423,0.735,0.4543,0.3083,0.1506,0.0782
Germany,E,5.9828,0.4491,0.3737,0.1355,0.9359,0.7265,0.4112,0.268,0.1263,0.0628
Italy,K,6.629,0.599,0.2944,0.0849,0.964,0.7557,0.4482,0.2118,0.113,0.0498
Netherlands,I,6.878,0.7254,0.1887,0.0644,0.9702,0.6775,0.4046,0.2321,0.0801,0.0332
Belgium,F,6.2018,0.5047,0.3467,0.1198,0.9508,0.5935,0.3681,0.1917,0.0731,0.028
Switzerland,G,5.1366,0.2521,0.4847,0.2065,0.8933,0.5187,0.2289,0.1141,0.051,0.02
Croatia,F,5.7543,0.4022,0.3873,0.1611,0.9192,0.5109,0.2819,0.1352,0.043,0.0153
Mexico,A,4.8397,0.3429,0.303,0.2221,0.8208,0.5349,0.3016,0.1106,0.04,0.0118
Denmark,D,5.8196,0.3035,0.5613,0.1144,0.9573,0.5161,0.2019,0.0954,0.0359,0.0117
Colombia,J,4.8614,0.269,0.3661,0.2507,0.8235,0.3885,0.2096,0.0961,0.0404,0.0117
Norway,K,5.5839,0.3361,0.4572,0.1658,0.9207,0.6324,0.2635,0.0869,0.0329,0.01
Uruguay,H,5.2037,0.2515,0.4962,0.1887,0.8881,0.3941,0.193,0.0768,0.0323,0.01
Morocco,A,4.7654,0.3386,0.2813,0.227,0.7997,0.4858,0.2541,0.1079,0.0354,0.0098
Austria,L,5.3753,0.4544,0.266,0.1737,0.8634,0.4654,0.1919,0.0527,0.0152,0.0048
Japan,A,3.8312,0.2091,0.2347,0.2728,0.647,0.3284,0.1412,0.0447,0.0127,0.0037
USA,B,5.4361,0.4713,0.2785,0.1656,0.8846,0.3962,0.1521,0.0378,0.0093,0.0026
Serbia,E,3.172,0.063,0.192,0.4906,0.577,0.2694,0.0917,0.0316,0.0107,0.0024
Canada,A,2.9686,0.1094,0.181,0.2781,0.4854,0.2103,0.091,0.0198,0.0063,0.0017
Senegal,B,4.3836,0.2641,0.3043,0.2551,0.7612,0.3067,0.1292,0.0272,0.0073,0.0015
Sweden,G,2.9862,0.0544,0.1993,0.4544,0.5358,0.2199,0.0686,0.021,0.0057,0.0014
Nigeria,F,3.1307,0.0737,0.1896,0.4484,0.5502,0.1748,0.0658,0.0206,0.0058,0.0013
Ukraine,J,3.829,0.1224,0.2796,0.4163,0.7011,0.2014,0.077,0.0208,0.005,0.0011
Turkey,L,4.2702,0.2598,0.2831,0.2487,0.7295,0.2867,0.0856,0.0203,0.0046,0.0007
South Korea,B,2.7084,0.0933,0.1627,0.2656,0.4399,0.1237,0.0427,0.0081,0.0016,0.0005
Chile,I,3.3153,0.0956,0.2736,0.327,0.5827,0.1666,0.042,0.0112,0.0026,0.0005
Poland,C,3.2402,0.0712,0.3104,0.3156,0.5713,0.1161,0.0332,0.0073,0.0018,0.0004
Ivory Coast,K,3.1608,0.0528,0.1896,0.5281,0.6039,0.2583,0.0586,0.0098,0.0019,0.0004
Scotland,L,3.0722,0.1229,0.2013,0.2806,0.5092,0.1631,0.0432,0.0084,0.002,0.0004
Egypt,I,3.6852,0.1196,0.3292,0.2999,0.6459,0.1694,0.0371,0.0106,0.0029,0.0003
Qatar,I,2.714,0.0594,0.2085,0.3087,0.4502,0.0817,0.0139,0.0023,0.0006,0.0002
Ghana,H,2.4307,0.0293,0.1549,0.396,0.4004,0.0645,0.0158,0.0034,0.0005,0.0002
Ecuador,C,3.1666,0.0722,0.2948,0.3172,0.556,0.1291,0.0386,0.0082,0.0015,0.0002
Wales,B,3.7326,0.1713,0.2545,0.3137,0.6555,0.1884,0.0639,0.0109,0.0026,0.0002
Cameroon,G,1.6923,0.016,0.0771,0.2683,0.2337,0.0536,0.013,0.0023,0.0004,0.0002
Algeria,J,1.7212,0.0216,0.0859,0.221,0.2375,0.0481,0.0116,0.0022,0.0006,0.0001
Australia,C,2.8739,0.0548,0.2504,0.3243,0.4939,0.0866,0.0186,0.0031,0.0006,0.0001
Costa Rica,E,1.5967,0.0192,0.0721,0.2365,0.2126,0.0491,0.0084,0.0014,0.0004,0.0001
Iran,H,2.0833,0.0215,0.1118,0.3592,0.3215,0.061,0.0161,0.0027,0.0005,0.0
Tunisia,D,1.9565,0.015,0.0792,0.3997,0.3,0.0487,0.006,0.001,0.0,0.0
Peru,D,2.1443,0.0199,0.0881,0.4315,0.3453,0.0621,0.01,0.0026,0.0002,0.0
Panama,K,1.4351,0.0121,0.0588,0.2212,0.1865,0.0545,0.0111,0.0023,0.0004,0.0
Uruguay B,L,3.5801,0.1629,0.2496,0.297,0.6108,0.1528,0.0316,0.0057,0.0006,0.0
Saudi Arabia,F,1.7289,0.0194,0.0764,0.2707,0.247,0.0412,0.0089,0.0013,0.0002,0.0
