match_id,stage,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob
1,group,Mexico,Canada,0.5382,0.2217,0.2401
2,group,Morocco,Japan,0.4335,0.2545,0.3119
3,group,Mexico,Morocco,0.338,0.2678,0.3942
4,group,Canada,Japan,0.2662,0.2332,0.5006
5,group,Mexico,Japan,0.3991,0.2661,0.3348
6,group,Canada,Morocco,0.2181,0.212,0.5699
7,group,USA,Wales,0.4503,0.2491,0.3006
8,group,Senegal,South Korea,0.4069,0.2634,0.3296
9,group,USA,Senegal,0.3509,0.2748,0.3743
10,group,Wales,South Korea,0.3226,0.2599,0.4175
11,group,USA,South Korea,0.3925,0.2684,0.3391
12,group,Wales,Senegal,0.2908,0.2445,0.4647
13,group,Argentina,Australia,0.8187,0.1274,0.0539
14,group,Poland,Ecuador,0.3449,0.2715,0.3836
15,group,Argentina,Poland,0.7884,0.1399,0.0717
16,group,Australia,Ecuador,0.2969,0.2473,0.4558
17,group,Argentina,Ecuador,0.7771,0.1442,0.0786
18,group,Australia,Poland,0.313,0.255,0.432
19,group,France,Denmark,0.6819,0.1773,0.1408
20,group,Tunisia,Peru,0.3599,0.28,0.3601
21,group,France,Tunisia,0.804,0.1336,0.0624
22,group,Denmark,Peru,0.5733,0.211,0.2157
23,group,France,Peru,0.8039,0.1336,0.0624
24,group,Denmark,Tunisia,0.5734,0.211,0.2156
25,group,Spain,Costa Rica,0.7962,0.1368,0.067
26,group,Germany,Serbia,0.6531,0.1865,0.1604
27,group,Spain,Germany,0.4401,0.2524,0.3075
28,group,Costa Rica,Serbia,0.2542,0.2278,0.518
29,group,Spain,Serbia,0.7101,0.1681,0.1218
30,group,Costa Rica,Germany,0.0912,0.1517,0.757
31,group,Belgium,Croatia,0.408,0.2631,0.3289
32,group,Saudi Arabia,Nigeria,0.2926,0.2453,0.4621
33,group,Belgium,Saudi Arabia,0.6863,0.1759,0.1378
34,group,Croatia,Nigeria,0.5643,0.2137,0.222
35,group,Belgium,Nigeria,0.6068,0.2008,0.1924
36,group,Croatia,Saudi Arabia,0.6507,0.1872,0.1621
37,group,Brazil,Switzerland,0.6771,0.1789,0.144
38,group,Cameroon,Sweden,0.2942,0.2461,0.4597
39,group,Brazil,Cameroon,0.7819,0.1424,0.0757
40,group,Switzerland,Sweden,0.4361,0.2537,0.3102
41,group,Brazil,Sweden,0.7278,0.1621,0.1101
42,group,Switzerland,Cameroon,0.534,0.223,0.2431
43,group,Portugal,Ghana,0.7443,0.1563,0.0994
44,group,Uruguay,Iran,0.6269,0.1946,0.1785
45,group,Portugal,Uruguay,0.5185,0.2277,0.2538
46,group,Ghana,Iran,0.354,0.2766,0.3694
47,group,Portugal,Iran,0.7388,0.1583,0.103
48,group,Ghana,Uruguay,0.1732,0.1922,0.6346
49,group,Netherlands,Qatar,0.7749,0.1451,0.08
50,group,Egypt,Chile,0.3455,0.2719,0.3826
51,group,Netherlands,Egypt,0.6717,0.1806,0.1477
52,group,Qatar,Chile,0.2327,0.2184,0.5489
53,group,Netherlands,Chile,0.6546,0.186,0.1594
54,group,Qatar,Egypt,0.2476,0.2249,0.5275
55,group,England,Ukraine,0.697,0.1724,0.1306
56,group,Algeria,Colombia,0.2301,0.2173,0.5526
57,group,England,Algeria,0.7522,0.1535,0.0943
58,group,Ukraine,Colombia,0.29,0.2441,0.466
59,group,England,Colombia,0.6165,0.1978,0.1857
60,group,Ukraine,Algeria,0.4498,0.2492,0.301
61,group,Italy,Norway,0.5996,0.203,0.1974
62,group,Ivory Coast,Panama,0.4584,0.2465,0.2951
63,group,Italy,Ivory Coast,0.6971,0.1724,0.1305
64,group,Norway,Panama,0.5788,0.2093,0.2119
65,group,Italy,Panama,0.757,0.1517,0.0912
66,group,Norway,Ivory Coast,0.486,0.2378,0.2763
67,group,Uruguay B,Turkey,0.2733,0.2364,0.4903
68,group,Austria,Scotland,0.4625,0.2452,0.2923
69,group,Uruguay B,Austria,0.2392,0.2212,0.5395
70,group,Turkey,Scotland,0.4112,0.262,0.3268
71,group,Uruguay B,Scotland,0.3081,0.2527,0.4392
72,group,Turkey,Austria,0.3269,0.262,0.4111
