simulation_id,champion,runner_up,semi_finalists
0,France,Spain,Austria|France|Netherlands|Spain
1,Argentina,Brazil,Argentina|Brazil|Germany|Italy
2,Brazil,France,Brazil|France|Mexico|Netherlands
3,Argentina,Brazil,Argentina|Brazil|Italy|Mexico
4,France,Brazil,Brazil|France|Netherlands|Norway
5,Argentina,Netherlands,Argentina|Netherlands|Portugal|Uruguay
6,France,Argentina,Argentina|England|France|Spain
7,Argentina,Spain,Argentina|Mexico|Senegal|Spain
8,Spain,Morocco,Cameroon|Italy|Morocco|Spain
9,Argentina,France,Argentina|Canada|France|Italy
10,Brazil,France,Argentina|Brazil|France|Mexico
11,Uruguay,Germany,Germany|Senegal|Spain|Uruguay
12,Germany,Colombia,Colombia|Germany|Italy|Serbia
13,Argentina,France,Argentina|England|France|Poland
14,Italy,Brazil,Brazil|Croatia|Italy|Switzerland
15,Brazil,Argentina,Argentina|Brazil|Germany|Italy
16,Netherlands,Switzerland,Brazil|Morocco|Netherlands|Switzerland
17,Argentina,Belgium,Argentina|Belgium|Italy|Portugal
18,Netherlands,Germany,France|Germany|Netherlands|Portugal
19,Italy,Belgium,Belgium|Chile|Italy|USA
20,Argentina,Spain,Argentina|France|Ivory Coast|Spain
21,France,England,England|France|Netherlands|Spain
22,Spain,Chile,Argentina|Chile|Italy|Spain
23,Spain,Scotland,Panama|Scotland|Spain|Switzerland
24,Uruguay,Poland,Ghana|Poland|Spain|Uruguay
25,Switzerland,Germany,Argentina|France|Germany|Switzerland
26,Brazil,Denmark,Brazil|Denmark|Panama|Wales
27,Morocco,Germany,Brazil|Germany|Italy|Morocco
28,France,Italy,Argentina|Denmark|France|Italy
29,Germany,Spain,Brazil|Germany|Serbia|Spain
30,Spain,Mexico,Brazil|Mexico|Spain|Sweden
31,Spain,Germany,England|Germany|Spain|Uruguay
32,France,Portugal,Argentina|France|Nigeria|Portugal
33,Austria,Argentina,Argentina|Austria|Netherlands|Norway
34,Brazil,Argentina,Argentina|Brazil|England|Germany
35,England,Portugal,England|Germany|Mexico|Portugal
36,France,Italy,Argentina|France|Italy|Netherlands
37,Brazil,Belgium,Belgium|Brazil|England|Germany
38,France,Morocco,France|Italy|Morocco|Serbia
39,Argentina,France,Argentina|England|France|Italy
40,Morocco,Germany,Brazil|Germany|Italy|Morocco
41,Argentina,England,Argentina|England|Portugal|Serbia
42,France,Argentina,Argentina|France|Norway|Spain
43,England,Argentina,Argentina|Croatia|England|Norway
44,Brazil,Portugal,Belgium|Brazil|Croatia|Portugal
45,Italy,England,England|Italy|Poland|USA
46,Spain,England,England|Italy|Netherlands|Spain
47,France,Spain,Austria|France|Germany|Spain
48,Brazil,Italy,Brazil|France|Germany|Italy
49,France,Spain,England|France|Netherlands|Spain
50,France,Portugal,France|Netherlands|Nigeria|Portugal
51,Brazil,England,Argentina|Brazil|Ecuador|England
52,Portugal,Brazil,Brazil|Germany|Netherlands|Portugal
53,France,Morocco,Australia|France|Germany|Morocco
54,Portugal,Belgium,Belgium|Colombia|Italy|Portugal
55,England,Brazil,Brazil|England|Netherlands|Uruguay
56,Portugal,Spain,Argentina|France|Portugal|Spain
57,Brazil,Portugal,Belgium|Brazil|Nigeria|Portugal
58,Brazil,Argentina,Argentina|Brazil|France|Senegal
59,Portugal,Croatia,Croatia|England|Portugal|Spain
60,Germany,England,Costa Rica|England|Germany|Italy
61,Brazil,Senegal,Belgium|Brazil|Netherlands|Senegal
62,Spain,Netherlands,Brazil|Denmark|Netherlands|Spain
63,France,England,England|France|Netherlands|Spain
64,Brazil,Ivory Coast,Brazil|Italy|Ivory Coast|Spain
65,Argentina,Brazil,Argentina|Brazil|Japan|Sweden
66,Brazil,Argentina,Argentina|Brazil|France|Morocco
67,Brazil,Croatia,Belgium|Brazil|Croatia|Sweden
68,Argentina,France,Argentina|France|Spain|Uruguay
69,Brazil,Netherlands,Brazil|Ghana|Netherlands|Portugal
70,Argentina,France,Argentina|France|Italy|Netherlands
71,Germany,Netherlands,Brazil|England|Germany|Netherlands
72,Argentina,Germany,Argentina|England|Germany|Italy
73,Brazil,France,Brazil|France|Germany|Japan
74,Argentina,France,Argentina|Croatia|France|Italy
75,Croatia,Belgium,Belgium|Brazil|Croatia|Italy
76,Mexico,Brazil,Austria|Brazil|Mexico|Poland
77,Argentina,France,Argentina|Brazil|England|France
78,Argentina,Japan,Argentina|Brazil|Colombia|Japan
79,Germany,Italy,Argentina|England|Germany|Italy
