team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
Argentina,C,7.5571,0.8352,0.1239,0.0328,0.9882,0.7838,0.5811,0.4644,0.3091,0.1992
Brazil,G,7.0038,0.7324,0.1889,0.0607,0.9753,0.7886,0.4936,0.3491,0.2328,0.1373
France,D,7.3292,0.7709,0.1735,0.0453,0.9841,0.7975,0.4983,0.3525,0.2284,0.1347
Spain,E,6.3907,0.5322,0.3385,0.1055,0.9592,0.7535,0.4686,0.3326,0.1846,0.0988
England,J,6.6948,0.6711,0.2186,0.0799,0.9582,0.64,0.451,0.2959,0.1661,0.0898
Portugal,H,6.6,0.6183,0.2679,0.0883,0.9599,0.6282,0.4571,0.2395,0.1402,0.0699
Italy,K,6.7289,0.6712,0.2214,0.0822,0.9615,0.7417,0.5072,0.2561,0.1239,0.0555
Germany,E,5.7497,0.385,0.4125,0.1553,0.9205,0.6701,0.3625,0.237,0.119,0.0523
Netherlands,I,6.82,0.6938,0.2109,0.0715,0.9671,0.6659,0.3418,0.2184,0.0972,0.0438
Belgium,F,5.7288,0.4622,0.3064,0.1651,0.9054,0.4875,0.296,0.1447,0.0602,0.0224
Uruguay,H,5.1598,0.2871,0.4257,0.1996,0.8606,0.4237,0.2387,0.1016,0.0406,0.016
Croatia,F,5.2431,0.3644,0.3409,0.1951,0.8583,0.4113,0.2321,0.1038,0.0389,0.0152
Morocco,A,4.9049,0.3532,0.2801,0.2237,0.8068,0.4586,0.2453,0.0876,0.0311,0.0107
Colombia,J,4.2817,0.1811,0.3675,0.2753,0.743,0.3041,0.1535,0.0539,0.0211,0.0067
Switzerland,G,4.0522,0.1425,0.3677,0.289,0.7044,0.3782,0.1394,0.0608,0.0215,0.0066
Mexico,A,4.5659,0.3009,0.2785,0.2447,0.7674,0.4021,0.2038,0.07,0.021,0.006
Denmark,D,4.4568,0.1584,0.4503,0.2517,0.78,0.3717,0.1277,0.0571,0.0205,0.0044
Austria,L,4.9517,0.3713,0.2706,0.2153,0.8092,0.4017,0.1756,0.0467,0.0151,0.0042
Norway,K,4.4009,0.1904,0.3872,0.2638,0.764,0.4365,0.1874,0.0497,0.0148,0.0041
Japan,A,4.2008,0.2389,0.2696,0.2692,0.708,0.35,0.161,0.0478,0.0118,0.0033
USA,B,4.3435,0.2765,0.2707,0.2382,0.723,0.2941,0.1128,0.0351,0.0088,0.0023
Turkey,L,4.4359,0.2775,0.2891,0.2392,0.7471,0.3284,0.1193,0.0285,0.009,0.0022
Sweden,G,3.2862,0.0828,0.2681,0.3496,0.5706,0.2713,0.0929,0.0333,0.0095,0.0022
Serbia,E,3.0193,0.0641,0.1736,0.4564,0.5245,0.2209,0.075,0.0227,0.0061,0.0015
Ecuador,C,3.3977,0.0685,0.3394,0.3214,0.6018,0.2144,0.0857,0.0218,0.0054,0.0015
Nigeria,F,3.3195,0.1134,0.2202,0.3532,0.5691,0.1665,0.0618,0.0175,0.0047,0.001
Ukraine,J,3.3319,0.0961,0.2536,0.3481,0.5785,0.1956,0.0841,0.0218,0.0053,0.001
Chile,I,3.9159,0.1396,0.3326,0.3154,0.6862,0.2317,0.0611,0.0184,0.0046,0.001
South Korea,B,4.0908,0.2477,0.2465,0.2553,0.6806,0.2551,0.0893,0.0241,0.0069,0.001
Senegal,B,4.4776,0.3027,0.2654,0.2386,0.7482,0.3218,0.1238,0.0383,0.0088,0.0008
Egypt,I,3.7223,0.1259,0.3052,0.3348,0.6502,0.2065,0.0535,0.0162,0.0033,0.0007
Scotland,L,3.9233,0.2133,0.2454,0.2719,0.6587,0.2609,0.0892,0.0178,0.004,0.0006
Wales,B,3.5064,0.1731,0.2174,0.2679,0.5818,0.1818,0.0562,0.014,0.0025,0.0005
Cameroon,G,2.4352,0.0423,0.1753,0.3007,0.3919,0.159,0.0388,0.0102,0.0019,0.0005
Canada,A,2.8814,0.107,0.1718,0.2624,0.4562,0.1493,0.0476,0.011,0.0026,0.0005
Ivory Coast,K,3.2377,0.0911,0.238,0.3547,0.5539,0.2457,0.0776,0.0141,0.0033,0.0005
Poland,C,3.2216,0.0591,0.3088,0.3317,0.563,0.191,0.0776,0.0183,0.0034,0.0004
Peru,D,2.5448,0.0357,0.1886,0.352,0.4125,0.113,0.0263,0.0081,0.0015,0.0003
Algeria,J,2.462,0.0517,0.1603,0.2967,0.3856,0.107,0.0374,0.0073,0.0012,0.0002
Iran,H,2.553,0.0492,0.1572,0.36,0.4128,0.1141,0.0374,0.01,0.0019,0.0001
Panama,K,2.4028,0.0473,0.1534,0.2993,0.3798,0.1398,0.0345,0.0042,0.0007,0.0001
Saudi Arabia,F,2.4209,0.06,0.1325,0.2866,0.372,0.0829,0.0247,0.0042,0.0008,0.0001
Tunisia,D,2.5417,0.035,0.1876,0.351,0.4114,0.1062,0.0224,0.0052,0.0011,0.0001
Costa Rica,E,1.7361,0.0187,0.0754,0.2828,0.2481,0.0723,0.0169,0.0021,0.0003,0.0
Qatar,I,2.2916,0.0407,0.1513,0.2783,0.356,0.0768,0.0139,0.0021,0.0003,0.0
Ghana,H,2.4859,0.0454,0.1492,0.3521,0.3935,0.1028,0.0301,0.0067,0.0013,0.0
Australia,C,2.6318,0.0372,0.2279,0.3141,0.4385,0.1273,0.0427,0.0104,0.0014,0.0
Uruguay B,L,3.2049,0.1379,0.1949,0.2736,0.5234,0.1691,0.0457,0.0074,0.0015,0.0
