match_id,stage,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob
1,group,Mexico,Canada,0.4174,0.1912,0.3914
2,group,Morocco,Japan,0.438,0.383,0.179
3,group,Mexico,Morocco,0.2455,0.3378,0.4167
4,group,Canada,Japan,0.6233,0.194,0.1827
5,group,Mexico,Japan,0.4626,0.25,0.2874
6,group,Canada,Morocco,0.4364,0.0592,0.5044
7,group,USA,Wales,0.5579,0.1381,0.304
8,group,Senegal,South Korea,0.6447,0.176,0.1792
9,group,USA,Senegal,0.2165,0.1196,0.6639
10,group,Wales,South Korea,0.3749,0.0697,0.5555
11,group,USA,South Korea,0.6283,0.0602,0.3115
12,group,Wales,Senegal,0.1669,0.1585,0.6747
13,group,Argentina,Australia,0.876,0.0645,0.0595
14,group,Poland,Ecuador,0.3556,0.0724,0.5721
15,group,Argentina,Poland,0.9217,0.0446,0.0338
16,group,Australia,Ecuador,0.2053,0.4033,0.3914
17,group,Argentina,Ecuador,0.8634,0.0861,0.0505
18,group,Australia,Poland,0.4617,0.0483,0.49
19,group,France,Denmark,0.7516,0.0931,0.1552
20,group,Tunisia,Peru,0.207,0.4002,0.3927
21,group,France,Tunisia,0.9433,0.0388,0.018
22,group,Denmark,Peru,0.6854,0.1327,0.182
23,group,France,Peru,0.9047,0.0514,0.0439
24,group,Denmark,Tunisia,0.7769,0.0578,0.1653
25,group,Spain,Costa Rica,0.8878,0.0939,0.0182
26,group,Germany,Serbia,0.7954,0.0546,0.15
27,group,Spain,Germany,0.3981,0.2746,0.3273
28,group,Costa Rica,Serbia,0.0552,0.0474,0.8974
29,group,Spain,Serbia,0.6275,0.2317,0.1408
30,group,Costa Rica,Germany,0.0168,0.1602,0.823
31,group,Belgium,Croatia,0.528,0.1483,0.3237
32,group,Saudi Arabia,Nigeria,0.3447,0.0959,0.5594
33,group,Belgium,Saudi Arabia,0.8404,0.0663,0.0933
34,group,Croatia,Nigeria,0.7038,0.119,0.1772
35,group,Belgium,Nigeria,0.7098,0.179,0.1111
36,group,Croatia,Saudi Arabia,0.8278,0.0635,0.1087
37,group,Brazil,Switzerland,0.9023,0.0501,0.0476
38,group,Cameroon,Sweden,0.1668,0.1171,0.7162
39,group,Brazil,Cameroon,0.8568,0.1313,0.0119
40,group,Switzerland,Sweden,0.6526,0.1366,0.2108
41,group,Brazil,Sweden,0.8826,0.0469,0.0706
42,group,Switzerland,Cameroon,0.7767,0.1687,0.0547
43,group,Portugal,Ghana,0.9085,0.0675,0.024
44,group,Uruguay,Iran,0.8384,0.0519,0.1097
45,group,Portugal,Uruguay,0.5291,0.3526,0.1183
46,group,Ghana,Iran,0.548,0.048,0.404
47,group,Portugal,Iran,0.9161,0.0644,0.0195
48,group,Ghana,Uruguay,0.0726,0.4859,0.4414
49,group,Netherlands,Qatar,0.792,0.0975,0.1106
50,group,Egypt,Chile,0.3431,0.0554,0.6016
51,group,Netherlands,Egypt,0.6683,0.1111,0.2206
52,group,Qatar,Chile,0.085,0.3516,0.5634
53,group,Netherlands,Chile,0.5052,0.1444,0.3504
54,group,Qatar,Egypt,0.1563,0.5621,0.2816
55,group,England,Ukraine,0.8354,0.0303,0.1342
56,group,Algeria,Colombia,0.2208,0.4466,0.3326
57,group,England,Algeria,0.7856,0.1691,0.0453
58,group,Ukraine,Colombia,0.2957,0.0535,0.6508
59,group,England,Colombia,0.5562,0.1783,0.2655
60,group,Ukraine,Algeria,0.5274,0.1968,0.2758
61,group,Italy,Norway,0.7549,0.1597,0.0855
62,group,Ivory Coast,Panama,0.6927,0.1712,0.1361
63,group,Italy,Ivory Coast,0.8492,0.07,0.0807
64,group,Norway,Panama,0.5646,0.2988,0.1365
65,group,Italy,Panama,0.9196,0.0257,0.0547
66,group,Norway,Ivory Coast,0.43,0.2566,0.3134
67,group,Uruguay B,Turkey,0.265,0.3436,0.3914
68,group,Austria,Scotland,0.5673,0.035,0.3977
69,group,Uruguay B,Austria,0.119,0.1006,0.7804
70,group,Turkey,Scotland,0.2551,0.2702,0.4747
71,group,Uruguay B,Scotland,0.1826,0.1053,0.712
72,group,Turkey,Austria,0.1247,0.5182,0.3572
