simulation_id,champion,runner_up,semi_finalists
0,Colombia,Mexico,Argentina|Colombia|Italy|Mexico
1,Switzerland,Chile,Argentina|Chile|Spain|Switzerland
2,France,Brazil,Argentina|Brazil|France|Portugal
3,France,Ukraine,Argentina|France|Norway|Ukraine
4,France,Norway,Austria|France|Mexico|Norway
5,Switzerland,Portugal,Colombia|Ecuador|Portugal|Switzerland
6,Brazil,France,Brazil|France|Poland|Spain
7,Algeria,France,Algeria|Argentina|France|Spain
8,Brazil,France,Brazil|Croatia|France|Germany
9,Switzerland,Scotland,Colombia|Scotland|Switzerland|USA
10,Norway,France,Croatia|France|Ivory Coast|Norway
11,Colombia,Iran,Colombia|Ecuador|Iran|Portugal
12,Norway,Portugal,Argentina|Italy|Norway|Portugal
13,France,Mexico,England|France|Mexico|Senegal
14,Turkey,Colombia,Colombia|Croatia|Poland|Turkey
15,France,Switzerland,Ecuador|France|Italy|Switzerland
16,Colombia,France,Argentina|Colombia|France|Peru
17,Brazil,France,Argentina|Brazil|France|Scotland
18,France,Brazil,Brazil|Croatia|France|Serbia
19,Brazil,England,Argentina|Brazil|Canada|England
20,Serbia,Switzerland,Croatia|Norway|Serbia|Switzerland
21,Belgium,Portugal,Argentina|Belgium|Portugal|Turkey
22,Norway,Colombia,Colombia|Nigeria|Norway|Wales
23,Switzerland,Brazil,Brazil|Germany|Poland|Switzerland
24,France,Switzerland,Croatia|France|Mexico|Switzerland
25,Norway,France,Argentina|Austria|France|Norway
26,Spain,Morocco,Croatia|Morocco|Spain|Switzerland
27,Italy,Portugal,Belgium|Croatia|Italy|Portugal
28,England,France,England|France|Mexico|Turkey
29,Spain,Argentina,Argentina|Colombia|Serbia|Spain
30,Switzerland,Germany,Germany|Switzerland|Turkey|USA
31,Iran,Switzerland,Iran|Poland|Scotland|Switzerland
32,Portugal,Morocco,Argentina|Morocco|Portugal|Serbia
33,Portugal,Denmark,Belgium|Denmark|Ivory Coast|Portugal
34,France,Switzerland,Algeria|Croatia|France|Switzerland
35,Netherlands,England,England|Italy|Mexico|Netherlands
36,Brazil,Switzerland,Brazil|Ecuador|Spain|Switzerland
37,Brazil,Portugal,Brazil|Croatia|Portugal|Spain
38,Spain,Portugal,Argentina|Ivory Coast|Portugal|Spain
39,Switzerland,Sweden,Argentina|Qatar|Sweden|Switzerland
40,Morocco,Switzerland,Brazil|Italy|Morocco|Switzerland
41,Switzerland,Ukraine,Argentina|Canada|Switzerland|Ukraine
42,Scotland,Nigeria,Egypt|Nigeria|Scotland|Turkey
43,Switzerland,Serbia,Ecuador|Norway|Serbia|Switzerland
44,Spain,Switzerland,Italy|Portugal|Spain|Switzerland
45,Spain,France,Argentina|France|Serbia|Spain
46,Austria,Switzerland,Austria|Italy|Switzerland|USA
47,Spain,Colombia,Argentina|Chile|Colombia|Spain
48,Switzerland,Portugal,Ecuador|France|Portugal|Switzerland
49,Switzerland,Portugal,Belgium|Chile|Portugal|Switzerland
50,Norway,Switzerland,Norway|Switzerland|Turkey|USA
51,Denmark,Sweden,Denmark|Germany|Ivory Coast|Sweden
52,Brazil,France,Brazil|France|Italy|Poland
53,France,England,Argentina|England|France|Spain
54,Spain,France,Colombia|France|Mexico|Spain
55,Norway,France,Argentina|Belgium|France|Norway
56,France,Colombia,Colombia|France|Norway|Poland
57,Sweden,Serbia,Argentina|Austria|Serbia|Sweden
58,Switzerland,Norway,France|Norway|Switzerland|USA
59,Argentina,France,Argentina|Croatia|France|Senegal
60,France,Ukraine,Argentina|Ecuador|France|Ukraine
61,France,Portugal,Argentina|Egypt|France|Portugal
62,Colombia,France,Colombia|France|Germany|Italy
63,Norway,Netherlands,Argentina|Colombia|Netherlands|Norway
64,Switzerland,France,France|Italy|Morocco|Switzerland
65,England,Portugal,England|Mexico|Portugal|Serbia
66,England,Belgium,Belgium|England|Italy|Poland
67,Germany,France,Egypt|France|Germany|Norway
68,Netherlands,Switzerland,Croatia|Netherlands|Norway|Switzerland
69,Norway,France,Argentina|France|Italy|Norway
70,Colombia,Portugal,Argentina|Colombia|Italy|Portugal
71,France,Belgium,Argentina|Belgium|France|Italy
72,Switzerland,England,Argentina|England|Spain|Switzerland
73,England,Mexico,Argentina|England|Mexico|Norway
74,France,Austria,Argentina|Austria|France|Scotland
75,Mexico,Belgium,Belgium|Mexico|Spain|Switzerland
76,Brazil,France,Brazil|France|Portugal|Serbia
77,Brazil,Colombia,Belgium|Brazil|Colombia|Spain
78,France,Algeria,Algeria|Egypt|France|Germany
79,Switzerland,Morocco,Germany|Morocco|Norway|Switzerland
80,Norway,France,Argentina|France|Norway|Turkey
81,Switzerland,Ukraine,Morocco|Poland|Switzerland|Ukraine
82,France,Brazil,Brazil|France|Norway|Switzerland
83,Portugal,Austria,Argentina|Austria|Colombia|Portugal
84,Switzerland,Sweden,Ecuador|Italy|Sweden|Switzerland
85,Colombia,Germany,Colombia|Germany|Senegal|Switzerland
86,Brazil,Morocco,Argentina|Brazil|Mexico|Morocco
87,Switzerland,France,Argentina|France|Italy|Switzerland
88,Italy,Uruguay,Chile|Italy|Portugal|Uruguay
89,Switzerland,Serbia,Poland|Serbia|Switzerland|Turkey
90,France,Norway,France|Italy|Norway|Uruguay
91,Brazil,Portugal,Argentina|Brazil|Italy|Portugal
92,Austria,Portugal,Argentina|Austria|Ivory Coast|Portugal
93,France,Spain,Argentina|Denmark|France|Spain
94,Spain,Colombia,Colombia|Morocco|Spain|Turkey
95,Switzerland,France,Argentina|France|Qatar|Switzerland
96,Brazil,Italy,Brazil|Italy|Poland|Spain
97,Switzerland,Sweden,Belgium|Serbia|Sweden|Switzerland
98,Germany,Portugal,Belgium|Egypt|Germany|Portugal
99,Switzerland,Morocco,Argentina|Morocco|Qatar|Switzerland
100,Switzerland,Colombia,Colombia|Morocco|Norway|Switzerland
101,Norway,Morocco,Germany|Morocco|Norway|Poland
102,Portugal,Colombia,Canada|Colombia|Norway|Portugal
103,Colombia,Switzerland,Argentina|Colombia|Spain|Switzerland
104,France,Portugal,France|Poland|Portugal|Spain
105,Norway,Portugal,Austria|Norway|Poland|Portugal
106,Algeria,Senegal,Algeria|Ecuador|Italy|Senegal
107,Switzerland,Morocco,Algeria|Germany|Morocco|Switzerland
108,Ivory Coast,Ukraine,Croatia|Ivory Coast|Portugal|Ukraine
109,Brazil,Sweden,Argentina|Brazil|Norway|Sweden
110,Argentina,France,Argentina|Belgium|France|Ukraine
111,Turkey,France,Argentina|France|Italy|Turkey
112,Uruguay,Brazil,Brazil|Italy|Mexico|Uruguay
113,Norway,Germany,Denmark|Germany|Ivory Coast|Norway
114,England,Ivory Coast,Argentina|England|Italy|Ivory Coast
115,Norway,Colombia,Colombia|Nigeria|Norway|Turkey
116,Switzerland,Colombia,Argentina|Colombia|Italy|Switzerland
117,Portugal,Switzerland,Argentina|Portugal|Serbia|Switzerland
118,Spain,Switzerland,Italy|Spain|Switzerland|USA
119,Brazil,Mexico,Austria|Brazil|Croatia|Mexico
120,Ukraine,Egypt,Egypt|Spain|Switzerland|Ukraine
121,Argentina,Denmark,Argentina|Croatia|Denmark|Sweden
122,Switzerland,Turkey,Italy|Mexico|Switzerland|Turkey
123,Switzerland,France,Croatia|France|Italy|Switzerland
124,Norway,France,Brazil|Colombia|France|Norway
125,USA,France,Belgium|France|Spain|USA
126,France,Colombia,Argentina|Colombia|France|Norway
127,Switzerland,Denmark,Argentina|Denmark|Poland|Switzerland
128,France,Ukraine,Argentina|France|Italy|Ukraine
129,Switzerland,Norway,Denmark|Ecuador|Norway|Switzerland
130,Sweden,Switzerland,Germany|Norway|Sweden|Switzerland
131,Brazil,France,Brazil|France|Italy|Poland
