team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
France,D,6.991,0.7862,0.1798,0.0234,0.9871,0.7055,0.4653,0.3994,0.3822,0.2106
Switzerland,G,5.614,0.4489,0.3595,0.11,0.8864,0.6655,0.5384,0.3549,0.3149,0.1875
Brazil,G,2.0503,0.0237,0.1465,0.283,0.3202,0.304,0.2712,0.1825,0.1569,0.1284
Norway,K,5.3805,0.2575,0.4938,0.2089,0.9211,0.5,0.3042,0.201,0.1117,0.0664
Colombia,J,4.7019,0.1951,0.4226,0.3225,0.9159,0.6525,0.4583,0.1843,0.142,0.0556
Portugal,H,7.5683,0.703,0.2355,0.0585,0.9894,0.607,0.4239,0.1448,0.1247,0.0498
Spain,E,4.2762,0.0301,0.6929,0.2372,0.867,0.5893,0.4956,0.202,0.0778,0.0487
Italy,K,4.3886,0.1459,0.2617,0.5428,0.7619,0.4553,0.3644,0.302,0.0627,0.0435
England,J,2.3852,0.0534,0.1002,0.2071,0.3103,0.2595,0.1869,0.1019,0.0856,0.0411
Austria,L,5.3339,0.1148,0.6491,0.1796,0.9135,0.6317,0.1455,0.071,0.0495,0.0277
Turkey,L,3.5025,0.0503,0.1869,0.6619,0.6444,0.4246,0.2144,0.1057,0.0607,0.0244
Argentina,C,5.3171,0.2564,0.3492,0.3517,0.871,0.6659,0.5025,0.4038,0.0524,0.0149
Sweden,G,6.5419,0.5206,0.4196,0.0497,0.9785,0.4654,0.3253,0.0658,0.0467,0.013
Mexico,A,3.2719,0.0982,0.2398,0.302,0.5505,0.3258,0.1504,0.0996,0.0416,0.0114
Serbia,E,3.7327,0.0778,0.2095,0.6815,0.6442,0.3891,0.1821,0.0652,0.0271,0.0091
Belgium,F,4.9383,0.2262,0.4371,0.2024,0.7919,0.5826,0.1981,0.0886,0.0187,0.0086
Denmark,D,3.4002,0.1038,0.2647,0.2319,0.5239,0.1885,0.1039,0.0308,0.0175,0.0082
Germany,E,8.2018,0.8919,0.0836,0.0243,0.9996,0.5423,0.288,0.0886,0.0193,0.0075
Ivory Coast,K,6.8143,0.5935,0.2301,0.1724,0.9931,0.2577,0.1425,0.066,0.0183,0.0069
Ukraine,J,5.1777,0.3674,0.235,0.2213,0.785,0.3381,0.158,0.0439,0.0255,0.0064
Nigeria,F,3.8015,0.0526,0.2676,0.5445,0.6327,0.4645,0.1339,0.0434,0.0122,0.0034
Uruguay,H,3.4729,0.0408,0.1479,0.7386,0.5759,0.4674,0.1964,0.0791,0.0233,0.0033
Netherlands,I,0.6187,0.0026,0.0113,0.0955,0.0493,0.0423,0.022,0.0119,0.0063,0.0028
Morocco,A,5.5129,0.4143,0.3023,0.1906,0.8786,0.3083,0.0921,0.0597,0.0289,0.0027
Scotland,L,7.7468,0.8312,0.1226,0.0419,0.991,0.2218,0.1026,0.0543,0.0088,0.0026
USA,B,4.991,0.2589,0.3766,0.2407,0.8329,0.4289,0.0649,0.0367,0.008,0.0024
Canada,A,3.8634,0.1894,0.2054,0.2652,0.5691,0.2562,0.0814,0.038,0.0097,0.0022
Algeria,J,4.8906,0.3841,0.2422,0.2491,0.8317,0.2711,0.1094,0.0239,0.0114,0.0021
Croatia,F,7.5227,0.7182,0.2402,0.036,0.9883,0.3973,0.1918,0.12,0.0109,0.0019
Chile,I,5.7401,0.124,0.7125,0.1379,0.9613,0.4266,0.2287,0.0297,0.0046,0.0014
Iran,H,6.2381,0.2561,0.6132,0.1276,0.9627,0.4972,0.0788,0.0139,0.0052,0.0011
Senegal,B,6.1221,0.5757,0.326,0.0878,0.9861,0.3453,0.0264,0.0145,0.0032,0.0009
Cameroon,G,2.191,0.0068,0.0744,0.5573,0.2164,0.1437,0.0511,0.0047,0.0024,0.0007
Egypt,I,7.0542,0.8664,0.0931,0.0379,0.9954,0.324,0.1181,0.0223,0.003,0.0006
Wales,B,3.0421,0.0742,0.1572,0.3168,0.4558,0.1721,0.0297,0.0117,0.0031,0.0006
Qatar,I,3.6415,0.007,0.1831,0.7287,0.8159,0.3421,0.0659,0.0169,0.0032,0.0005
Ecuador,C,7.2276,0.6758,0.2695,0.054,0.9978,0.2851,0.1644,0.0977,0.0034,0.0004
Peru,D,4.0101,0.1078,0.3808,0.2624,0.6834,0.0826,0.029,0.0032,0.0009,0.0003
Uruguay B,L,0.8603,0.0037,0.0414,0.1166,0.0868,0.0342,0.0102,0.0029,0.0006,0.0002
Poland,C,4.3138,0.0666,0.3649,0.5013,0.748,0.4227,0.1964,0.0857,0.0026,0.0001
Tunisia,D,3.0833,0.0022,0.1747,0.4823,0.5092,0.079,0.0184,0.0022,0.0007,0.0001
Ghana,H,0.3263,0.0001,0.0034,0.0753,0.0148,0.0063,0.0015,0.0003,0.0,0.0
South Korea,B,3.5716,0.0912,0.1402,0.3547,0.5083,0.1776,0.0145,0.0042,0.0006,0.0
Australia,C,0.6528,0.0012,0.0164,0.093,0.061,0.0261,0.0059,0.0017,0.0,0.0
Saudi Arabia,F,1.6239,0.003,0.0551,0.2171,0.1663,0.0723,0.0087,0.002,0.0002,0.0
Panama,K,0.7575,0.0031,0.0144,0.0759,0.054,0.0196,0.0069,0.0018,0.0001,0.0
Japan,A,4.6897,0.2981,0.2525,0.2422,0.7394,0.1259,0.0304,0.0152,0.0108,0.0
Costa Rica,E,0.953,0.0002,0.014,0.057,0.033,0.0095,0.0016,0.0006,0.0001,0.0
