match_id,stage,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob
1,group,Mexico,Canada,0.4549,0.2486,0.2965
2,group,Morocco,Japan,0.4309,0.3206,0.2485
3,group,Mexico,Morocco,0.4013,0.2872,0.3115
4,group,Canada,Japan,0.5546,0.2249,0.2205
5,group,Mexico,Japan,0.5588,0.22,0.2212
6,group,Canada,Morocco,0.4215,0.1952,0.3832
7,group,USA,Wales,0.6042,0.1981,0.1977
8,group,Senegal,South Korea,0.4573,0.3155,0.2272
9,group,USA,Senegal,0.3515,0.3092,0.3393
10,group,Wales,South Korea,0.415,0.2579,0.3271
11,group,USA,South Korea,0.5192,0.2349,0.2458
12,group,Wales,Senegal,0.2702,0.2348,0.495
13,group,Argentina,Australia,0.8728,0.0777,0.0496
14,group,Poland,Ecuador,0.3383,0.3365,0.3252
15,group,Argentina,Poland,0.872,0.0823,0.0457
16,group,Australia,Ecuador,0.3092,0.3788,0.3121
17,group,Argentina,Ecuador,0.8702,0.0812,0.0486
18,group,Australia,Poland,0.4504,0.2932,0.2564
19,group,France,Denmark,0.7071,0.1348,0.1581
20,group,Tunisia,Peru,0.2987,0.3359,0.3654
21,group,France,Tunisia,0.8698,0.0861,0.0441
22,group,Denmark,Peru,0.6718,0.256,0.0722
23,group,France,Peru,0.83,0.1054,0.0647
24,group,Denmark,Tunisia,0.792,0.1487,0.0593
25,group,Spain,Costa Rica,0.7859,0.184,0.0301
26,group,Germany,Serbia,0.6152,0.2025,0.1823
27,group,Spain,Germany,0.3116,0.4023,0.2861
28,group,Costa Rica,Serbia,0.159,0.2117,0.6293
29,group,Spain,Serbia,0.5989,0.1707,0.2304
30,group,Costa Rica,Germany,0.0532,0.3028,0.6441
31,group,Belgium,Croatia,0.3831,0.286,0.331
32,group,Saudi Arabia,Nigeria,0.2884,0.149,0.5626
33,group,Belgium,Saudi Arabia,0.7509,0.1769,0.0723
34,group,Croatia,Nigeria,0.6283,0.2564,0.1153
35,group,Belgium,Nigeria,0.5163,0.3588,0.1248
36,group,Croatia,Saudi Arabia,0.7002,0.2176,0.0823
37,group,Brazil,Switzerland,0.6841,0.2138,0.1021
38,group,Cameroon,Sweden,0.1821,0.2356,0.5823
39,group,Brazil,Cameroon,0.8723,0.097,0.0307
40,group,Switzerland,Sweden,0.5181,0.2246,0.2573
41,group,Brazil,Sweden,0.8241,0.1034,0.0724
42,group,Switzerland,Cameroon,0.7268,0.2171,0.0561
43,group,Portugal,Ghana,0.7377,0.2131,0.0492
44,group,Uruguay,Iran,0.7233,0.1736,0.1031
45,group,Portugal,Uruguay,0.6823,0.17,0.1476
46,group,Ghana,Iran,0.4792,0.2474,0.2734
47,group,Portugal,Iran,0.8505,0.1085,0.041
48,group,Ghana,Uruguay,0.1056,0.3195,0.5749
49,group,Netherlands,Qatar,0.7439,0.1385,0.1176
50,group,Egypt,Chile,0.3356,0.2408,0.4237
51,group,Netherlands,Egypt,0.657,0.1488,0.1942
52,group,Qatar,Chile,0.159,0.4229,0.4181
53,group,Netherlands,Chile,0.5449,0.1784,0.2767
54,group,Qatar,Egypt,0.3166,0.3568,0.3266
55,group,England,Ukraine,0.7398,0.1305,0.1298
56,group,Algeria,Colombia,0.2182,0.2623,0.5196
57,group,England,Algeria,0.8131,0.1084,0.0786
58,group,Ukraine,Colombia,0.2466,0.198,0.5554
59,group,England,Colombia,0.6277,0.1825,0.1898
60,group,Ukraine,Algeria,0.5545,0.2291,0.2163
61,group,Italy,Norway,0.516,0.2767,0.2073
62,group,Ivory Coast,Panama,0.5494,0.2181,0.2325
63,group,Italy,Ivory Coast,0.6982,0.2139,0.0879
64,group,Norway,Panama,0.6657,0.1959,0.1384
65,group,Italy,Panama,0.7632,0.1611,0.0757
66,group,Norway,Ivory Coast,0.5833,0.1823,0.2345
67,group,Uruguay B,Turkey,0.3396,0.2449,0.4155
68,group,Austria,Scotland,0.6213,0.1748,0.204
69,group,Uruguay B,Austria,0.1734,0.2031,0.6234
70,group,Turkey,Scotland,0.3681,0.3187,0.3132
71,group,Uruguay B,Scotland,0.3522,0.2829,0.3649
72,group,Turkey,Austria,0.2773,0.3151,0.4075
