simulation_id,champion,runner_up,semi_finalists
0,Denmark,France,Argentina|Denmark|France|Morocco
1,Italy,Argentina,Argentina|Italy|Mexico|Norway
2,Brazil,Wales,Argentina|Brazil|Germany|Wales
3,Portugal,Austria,Austria|Denmark|Italy|Portugal
4,England,Portugal,Argentina|England|Portugal|Spain
5,Belgium,Spain,Belgium|Brazil|Croatia|Spain
6,France,USA,France|Morocco|Spain|USA
7,France,Mexico,Belgium|France|Mexico|Uruguay
8,Brazil,Spain,Brazil|Germany|Italy|Spain
9,Spain,Argentina,Argentina|England|Portugal|Spain
10,Brazil,Argentina,Argentina|Brazil|Ecuador|Italy
11,Portugal,Italy,Colombia|Croatia|Italy|Portugal
12,Brazil,Germany,Brazil|Germany|South Korea|USA
13,Belgium,Spain,Austria|Belgium|England|Spain
14,Argentina,Brazil,Argentina|Belgium|Brazil|Italy
15,Argentina,Croatia,Argentina|Croatia|France|Italy
16,France,Argentina,Argentina|Brazil|France|Morocco
17,Portugal,Netherlands,Canada|France|Netherlands|Portugal
18,Portugal,Argentina,Argentina|Brazil|Portugal|Spain
19,Argentina,Portugal,Argentina|Norway|Portugal|Spain
20,France,Spain,France|Germany|Norway|Spain
21,Brazil,England,Argentina|Brazil|England|Uruguay
22,Italy,Netherlands,Italy|Netherlands|Portugal|Spain
23,Portugal,Argentina,Argentina|Italy|Portugal|Spain
24,Denmark,Argentina,Argentina|Belgium|Denmark|Italy
25,Portugal,Italy,Italy|Portugal|Serbia|Spain
26,France,Senegal,Argentina|Canada|France|Senegal
27,Brazil,Argentina,Argentina|Belgium|Brazil|Scotland
28,Austria,Portugal,Austria|Portugal|Serbia|Spain
29,Argentina,Brazil,Argentina|Brazil|Portugal|USA
30,Brazil,Netherlands,Brazil|England|Germany|Netherlands
31,Italy,Brazil,Argentina|Brazil|Italy|Netherlands
32,Norway,Spain,Argentina|Brazil|Norway|Spain
33,France,Germany,Denmark|France|Germany|Mexico
34,England,Portugal,Canada|England|Germany|Portugal
35,Argentina,Ukraine,Argentina|Croatia|USA|Ukraine
36,Portugal,Argentina,Argentina|Croatia|France|Portugal
37,England,Argentina,Algeria|Argentina|England|Spain
38,Germany,Argentina,Argentina|England|Germany|Italy
39,Germany,Argentina,Argentina|England|Germany|Uruguay
40,France,Netherlands,England|France|Germany|Netherlands
41,Spain,Denmark,Austria|Denmark|France|Spain
42,France,Argentina,Argentina|France|Peru|Spain
43,Belgium,Mexico,Belgium|Italy|Mexico|Norway
44,Portugal,France,France|Portugal|Serbia|Spain
45,Belgium,Scotland,Belgium|Colombia|Portugal|Scotland
46,Argentina,France,Argentina|Denmark|France|Spain
47,Spain,Belgium,Belgium|Italy|Spain|Switzerland
48,Argentina,France,Argentina|France|Spain|USA
49,Argentina,Portugal,Argentina|Croatia|England|Portugal
50,France,Portugal,Argentina|France|Netherlands|Portugal
51,France,Germany,France|Germany|Italy|Spain
52,Brazil,Spain,Brazil|Chile|Italy|Spain
53,Brazil,Denmark,Brazil|Denmark|Germany|Spain
54,Brazil,Italy,Argentina|Brazil|Italy|Netherlands
55,France,Serbia,Brazil|France|Serbia|Spain
56,Colombia,Argentina,Argentina|Colombia|Croatia|USA
57,France,Spain,Brazil|France|Germany|Spain
58,Brazil,Germany,Belgium|Brazil|Denmark|Germany
59,Portugal,Belgium,Austria|Belgium|Portugal|Wales
