match_id,stage,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob
1,group,Mexico,Canada,0.3647,0.5629,0.0724
2,group,Morocco,Japan,0.4128,0.1522,0.435
3,group,Mexico,Morocco,0.1855,0.6009,0.2136
4,group,Canada,Japan,0.4863,0.0899,0.4239
5,group,Mexico,Japan,0.4472,0.3961,0.1567
6,group,Canada,Morocco,0.1544,0.1592,0.6864
7,group,USA,Wales,0.7192,0.1676,0.1132
8,group,Senegal,South Korea,0.6537,0.1405,0.2058
9,group,USA,Senegal,0.3712,0.4566,0.1722
10,group,Wales,South Korea,0.4867,0.2722,0.241
11,group,USA,South Korea,0.5991,0.1503,0.2505
12,group,Wales,Senegal,0.3079,0.5004,0.1918
13,group,Argentina,Australia,0.9042,0.0554,0.0404
14,group,Poland,Ecuador,0.3166,0.1733,0.5101
15,group,Argentina,Poland,0.8923,0.072,0.0357
16,group,Australia,Ecuador,0.2902,0.2965,0.4133
17,group,Argentina,Ecuador,0.8905,0.0697,0.0398
18,group,Australia,Poland,0.2903,0.3487,0.361
19,group,France,Denmark,0.5738,0.2866,0.1396
20,group,Tunisia,Peru,0.4157,0.2398,0.3445
21,group,France,Tunisia,0.7672,0.1947,0.0381
22,group,Denmark,Peru,0.8989,0.0781,0.023
23,group,France,Peru,0.788,0.1729,0.0391
24,group,Denmark,Tunisia,0.9258,0.0558,0.0183
25,group,Spain,Costa Rica,0.8626,0.1052,0.0322
26,group,Germany,Serbia,0.6687,0.2484,0.083
27,group,Spain,Germany,0.3939,0.4086,0.1975
28,group,Costa Rica,Serbia,0.0663,0.3832,0.5504
29,group,Spain,Serbia,0.4772,0.4615,0.0612
30,group,Costa Rica,Germany,0.0669,0.1076,0.8255
31,group,Belgium,Croatia,0.425,0.1646,0.4104
32,group,Saudi Arabia,Nigeria,0.146,0.1418,0.7122
33,group,Belgium,Saudi Arabia,0.9017,0.0599,0.0384
34,group,Croatia,Nigeria,0.7062,0.0782,0.2156
35,group,Belgium,Nigeria,0.8173,0.0843,0.0984
36,group,Croatia,Saudi Arabia,0.9,0.048,0.052
37,group,Brazil,Switzerland,0.8574,0.0687,0.0739
38,group,Cameroon,Sweden,0.0896,0.3892,0.5212
39,group,Brazil,Cameroon,0.8603,0.101,0.0387
40,group,Switzerland,Sweden,0.4339,0.4307,0.1354
41,group,Brazil,Sweden,0.8661,0.0819,0.052
42,group,Switzerland,Cameroon,0.792,0.1799,0.0281
43,group,Portugal,Ghana,0.941,0.0441,0.0148
44,group,Uruguay,Iran,0.8455,0.107,0.0475
45,group,Portugal,Uruguay,0.6579,0.226,0.1161
46,group,Ghana,Iran,0.2657,0.344,0.3903
47,group,Portugal,Iran,0.8719,0.1093,0.0188
48,group,Ghana,Uruguay,0.1322,0.1024,0.7654
49,group,Netherlands,Qatar,0.8816,0.0899,0.0286
50,group,Egypt,Chile,0.285,0.4209,0.2941
51,group,Netherlands,Egypt,0.8989,0.0538,0.0473
52,group,Qatar,Chile,0.2141,0.4501,0.3358
53,group,Netherlands,Chile,0.8278,0.1009,0.0713
54,group,Qatar,Egypt,0.368,0.3703,0.2618
55,group,England,Ukraine,0.8645,0.0707,0.0648
56,group,Algeria,Colombia,0.1437,0.2381,0.6182
57,group,England,Algeria,0.8696,0.1014,0.029
58,group,Ukraine,Colombia,0.3237,0.1237,0.5526
59,group,England,Colombia,0.6308,0.1283,0.2409
60,group,Ukraine,Algeria,0.7712,0.1261,0.1028
61,group,Italy,Norway,0.2399,0.2287,0.5314
62,group,Ivory Coast,Panama,0.8032,0.1241,0.0727
63,group,Italy,Ivory Coast,0.7089,0.1891,0.102
64,group,Norway,Panama,0.7592,0.2214,0.0193
65,group,Italy,Panama,0.7294,0.1867,0.0839
66,group,Norway,Ivory Coast,0.5736,0.3769,0.0495
67,group,Uruguay B,Turkey,0.2734,0.521,0.2056
68,group,Austria,Scotland,0.5857,0.2176,0.1967
69,group,Uruguay B,Austria,0.2779,0.3141,0.408
70,group,Turkey,Scotland,0.3197,0.1922,0.4881
71,group,Uruguay B,Scotland,0.3018,0.5571,0.1411
72,group,Turkey,Austria,0.1788,0.2094,0.6118
