simulation_id,champion,runner_up,semi_finalists
0,France,Germany,Brazil|France|Germany|Netherlands
1,Sweden,Germany,Brazil|Germany|Sweden|Uruguay
2,Germany,Spain,Brazil|Germany|Morocco|Spain
3,France,Portugal,France|Mexico|Netherlands|Portugal
4,Germany,Portugal,Germany|Norway|Portugal|Spain
5,England,Morocco,England|Morocco|Spain|Switzerland
6,Brazil,Argentina,Argentina|Brazil|France|Uruguay
7,England,Portugal,Argentina|Croatia|England|Portugal
8,Argentina,Spain,Argentina|Spain|Switzerland|Uruguay
9,England,Portugal,England|Germany|Portugal|Spain
10,England,France,Argentina|England|France|Netherlands
11,France,Argentina,Argentina|Brazil|France|Spain
12,France,Belgium,Belgium|France|Portugal|Spain
13,Argentina,Brazil,Argentina|Brazil|England|Netherlands
14,England,Germany,Belgium|England|Germany|Sweden
15,Argentina,Netherlands,Argentina|Brazil|France|Netherlands
16,England,Portugal,Brazil|England|Germany|Portugal
17,Brazil,England,Brazil|England|Mexico|Netherlands
18,Argentina,Spain,Argentina|Denmark|Portugal|Spain
19,England,Spain,Argentina|Brazil|England|Spain
20,Denmark,Argentina,Argentina|Denmark|France|Germany
21,France,Brazil,Brazil|Croatia|France|Morocco
22,Portugal,Spain,Brazil|Germany|Portugal|Spain
23,Portugal,Brazil,Brazil|Japan|Netherlands|Portugal
24,Brazil,Argentina,Argentina|Belgium|Brazil|Italy
25,Switzerland,Netherlands,Germany|Italy|Netherlands|Switzerland
26,Portugal,Croatia,Belgium|Croatia|Denmark|Portugal
27,Brazil,France,Brazil|France|Germany|Spain
28,England,Italy,Argentina|England|Italy|Spain
29,England,France,Argentina|England|France|Germany
30,Netherlands,Morocco,Colombia|Morocco|Netherlands|Senegal
31,England,France,Argentina|England|France|Germany
32,France,Portugal,Argentina|Belgium|France|Portugal
33,Netherlands,Germany,Brazil|Denmark|Germany|Netherlands
34,Brazil,Germany,Brazil|Germany|Portugal|Spain
35,Portugal,Colombia,Colombia|Netherlands|Portugal|Serbia
36,England,Switzerland,Argentina|England|Netherlands|Switzerland
37,England,Portugal,England|Germany|Netherlands|Portugal
38,England,Italy,England|Italy|Mexico|Uruguay
39,Argentina,Brazil,Argentina|Brazil|Italy|Mexico
40,England,Portugal,Argentina|England|Netherlands|Portugal
41,Spain,Brazil,Brazil|France|Netherlands|Spain
42,Norway,Spain,Brazil|Germany|Norway|Spain
43,Brazil,England,Brazil|England|Germany|Serbia
44,Denmark,England,Denmark|England|Netherlands|Spain
45,England,Portugal,Belgium|Croatia|England|Portugal
46,France,England,Belgium|England|France|Spain
47,France,Argentina,Argentina|France|Italy|Netherlands
48,Argentina,Brazil,Argentina|Brazil|Netherlands|Sweden
49,Argentina,Netherlands,Argentina|Brazil|England|Netherlands
50,Germany,Mexico,Belgium|France|Germany|Mexico
51,Brazil,Germany,Brazil|Germany|Morocco|Portugal
52,Spain,Portugal,France|Netherlands|Portugal|Spain
53,England,Brazil,Argentina|Brazil|England|Germany
54,England,Portugal,England|Morocco|Portugal|Spain
55,England,Belgium,Belgium|Brazil|England|Spain
56,England,Argentina,Argentina|Croatia|England|Morocco
57,Argentina,Germany,Argentina|England|Germany|Portugal
58,Germany,Netherlands,Brazil|Colombia|Germany|Netherlands
59,Brazil,England,Belgium|Brazil|England|Morocco
60,Belgium,England,Austria|Belgium|England|Italy
61,France,Mexico,Belgium|Denmark|France|Mexico
62,Argentina,France,Argentina|England|France|Italy
63,France,England,Belgium|Canada|England|France
64,Spain,Germany,Colombia|Germany|Spain|Ukraine
65,Brazil,Portugal,Brazil|Italy|Morocco|Portugal
66,Uruguay,Switzerland,Argentina|Germany|Switzerland|Uruguay
67,Netherlands,England,Brazil|England|Germany|Netherlands
68,Argentina,Netherlands,Argentina|Brazil|Denmark|Netherlands
69,Portugal,England,Argentina|England|Portugal|Serbia
