team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
Brazil,G,7.9943,0.8747,0.1029,0.0184,0.9944,0.854,0.5735,0.4149,0.299,0.1807
England,J,7.3896,0.7272,0.2166,0.0487,0.9891,0.7199,0.5167,0.3429,0.2687,0.1782
France,D,7.0447,0.6356,0.3177,0.0414,0.9884,0.7988,0.4686,0.3405,0.2576,0.1438
Argentina,C,8.2801,0.9255,0.0651,0.0081,0.9983,0.7615,0.5087,0.3928,0.1925,0.1317
Portugal,H,7.7708,0.7864,0.1995,0.0131,0.9981,0.7284,0.6045,0.3029,0.2461,0.1245
Spain,E,6.1689,0.5314,0.3661,0.0896,0.9768,0.823,0.4222,0.2958,0.1191,0.0533
Germany,E,5.8107,0.4079,0.4238,0.1396,0.954,0.8121,0.4076,0.2932,0.1237,0.0466
Netherlands,I,8.0909,0.909,0.0761,0.0124,0.9962,0.8276,0.5288,0.3253,0.0971,0.0355
Norway,K,6.4332,0.5865,0.3001,0.1019,0.9695,0.7205,0.3568,0.1427,0.0647,0.0232
Italy,K,5.6151,0.3444,0.4358,0.181,0.9321,0.7212,0.3505,0.1278,0.0528,0.0178
Belgium,F,6.7391,0.5125,0.3823,0.096,0.9825,0.6326,0.3879,0.1954,0.0508,0.0145
Colombia,J,4.7498,0.1962,0.427,0.2775,0.8305,0.337,0.1913,0.0758,0.0323,0.0088
Mexico,A,4.5451,0.2975,0.3232,0.2594,0.8197,0.5243,0.2992,0.0953,0.0294,0.0084
Morocco,A,4.862,0.3708,0.2812,0.2192,0.8441,0.5406,0.3028,0.1103,0.0265,0.0072
Switzerland,G,4.5884,0.0948,0.6005,0.2542,0.8801,0.4284,0.162,0.0822,0.0311,0.007
Denmark,D,6.3078,0.3512,0.5953,0.0485,0.9901,0.5931,0.1572,0.0666,0.0213,0.0043
Croatia,F,6.3427,0.4296,0.4018,0.149,0.9625,0.5291,0.2779,0.0997,0.0204,0.0038
Serbia,E,3.198,0.0546,0.1752,0.6043,0.6176,0.3065,0.1103,0.0347,0.0102,0.0026
Uruguay,H,5.642,0.2014,0.648,0.1229,0.9499,0.3058,0.1425,0.0494,0.0156,0.0021
Sweden,G,3.0031,0.0272,0.2504,0.519,0.5667,0.2382,0.0721,0.0205,0.0053,0.0014
Austria,L,5.5608,0.517,0.2383,0.1498,0.8815,0.4472,0.1635,0.0287,0.0064,0.0009
Canada,A,2.9714,0.116,0.187,0.2713,0.5223,0.2462,0.0953,0.0193,0.0048,0.0009
Japan,A,3.6685,0.2157,0.2086,0.2501,0.633,0.2976,0.1316,0.0295,0.0064,0.0007
Senegal,B,4.1396,0.2105,0.3379,0.2738,0.7616,0.2595,0.0983,0.0167,0.0029,0.0005
USA,B,5.8329,0.549,0.2459,0.1374,0.9167,0.4002,0.1563,0.0273,0.0053,0.0004
Ivory Coast,K,3.5696,0.0639,0.2301,0.5831,0.7513,0.3522,0.0654,0.0071,0.0009,0.0002
Ukraine,J,3.7767,0.0703,0.3,0.4734,0.7352,0.1757,0.0629,0.0134,0.0024,0.0002
Chile,I,3.0443,0.0449,0.3418,0.3331,0.5475,0.1251,0.0304,0.0061,0.0009,0.0001
Egypt,I,2.6485,0.0246,0.2833,0.3193,0.4662,0.0631,0.011,0.0019,0.0003,0.0001
Algeria,J,1.2989,0.0063,0.0564,0.2004,0.1786,0.0247,0.0073,0.0009,0.0001,0.0001
Scotland,L,3.4482,0.1533,0.2633,0.2717,0.6178,0.1784,0.0376,0.0048,0.0009,0.0001
Uruguay B,L,3.9617,0.2145,0.2878,0.3131,0.7121,0.173,0.0228,0.0032,0.0002,0.0001
Nigeria,F,3.3789,0.0547,0.1911,0.578,0.6678,0.1636,0.0597,0.0069,0.0012,0.0001
Turkey,L,3.0318,0.1152,0.2106,0.2654,0.5144,0.1821,0.0447,0.0073,0.0014,0.0001
Wales,B,3.6549,0.1435,0.2624,0.3378,0.6573,0.1564,0.0519,0.006,0.0004,0.0001
Peru,D,1.7304,0.0069,0.0435,0.4231,0.2915,0.0244,0.0013,0.0001,0.0,0.0
Panama,K,1.0595,0.0052,0.034,0.134,0.1151,0.0309,0.0048,0.0008,0.0001,0.0
Poland,C,2.7474,0.0206,0.2802,0.3325,0.4997,0.0568,0.0162,0.0011,0.0002,0.0
Australia,C,2.5588,0.019,0.2534,0.3388,0.4481,0.0385,0.0094,0.0009,0.0001,0.0
Iran,H,1.9168,0.0066,0.0672,0.4761,0.3087,0.0401,0.0108,0.002,0.0,0.0
Tunisia,D,1.8955,0.0063,0.0435,0.487,0.3249,0.0244,0.0014,0.0001,0.0,0.0
Ghana,H,1.7359,0.0056,0.0853,0.3879,0.2786,0.0234,0.0052,0.0004,0.0,0.0
South Korea,B,2.6776,0.097,0.1538,0.251,0.4366,0.0993,0.0246,0.0023,0.0004,0.0
Cameroon,G,1.1599,0.0033,0.0462,0.2084,0.1207,0.0217,0.004,0.0003,0.0,0.0
Ecuador,C,3.4181,0.0349,0.4013,0.3206,0.6402,0.1108,0.0338,0.0033,0.0005,0.0
Saudi Arabia,F,0.9515,0.0032,0.0248,0.177,0.1266,0.013,0.0017,0.0001,0.0,0.0
Costa Rica,E,1.0986,0.0061,0.0349,0.1665,0.1176,0.0226,0.0023,0.0001,0.0,0.0
Qatar,I,2.7337,0.0215,0.2988,0.3352,0.4878,0.0465,0.0047,0.0007,0.0,0.0
