team,before_prob_champion,after_prob_champion,delta_prob_champion
France,0.1195,0.155,0.035500000000000004
Portugal,0.1203,0.1311,0.01079999999999999
Germany,0.0693,0.0784,0.009099999999999997
Denmark,0.0069,0.0088,0.0019000000000000006
Austria,0.0042,0.006,0.0018000000000000004
Serbia,0.0034,0.0043,0.0009000000000000002
Norway,0.0028,0.0036,0.0007999999999999999
Chile,0.0011,0.0016,0.0005
South Korea,0.0003,0.0005,0.00020000000000000004
Peru,0.0,0.0002,0.0002
USA,0.0015,0.0016,0.00010000000000000005
Costa Rica,0.0,0.0001,0.0001
Uruguay B,0.0001,0.0002,0.0001
Algeria,0.0001,0.0002,0.0001
Saudi Arabia,0.0001,0.0001,0.0
Ivory Coast,0.0003,0.0003,0.0
Tunisia,0.0,0.0,0.0
Ghana,0.0001,0.0,-0.0001
Qatar,0.0001,0.0,-0.0001
Scotland,0.0008,0.0007,-0.00010000000000000005
Sweden,0.0012,0.001,-0.00019999999999999987
Ecuador,0.0003,0.0001,-0.00019999999999999998
Cameroon,0.0002,0.0,-0.0002
Iran,0.0002,0.0,-0.0002
Egypt,0.0004,0.0002,-0.0002
Australia,0.0002,0.0,-0.0002
Japan,0.0005,0.0003,-0.00020000000000000004
Senegal,0.0022,0.002,-0.0002000000000000001
Switzerland,0.0048,0.0045,-0.0002999999999999999
Panama,0.0003,0.0,-0.0003
Wales,0.0005,0.0002,-0.00030000000000000003
Poland,0.0004,0.0001,-0.00030000000000000003
Turkey,0.0007,0.0003,-0.0004
Nigeria,0.001,0.0004,-0.0006000000000000001
Ukraine,0.0011,0.0005,-0.0006000000000000001
Canada,0.0033,0.0026,-0.0007000000000000001
Colombia,0.0059,0.0044,-0.0014999999999999996
Mexico,0.0063,0.0042,-0.0021000000000000003
Croatia,0.0123,0.01,-0.0023
England,0.0782,0.0749,-0.0033000000000000113
Morocco,0.0062,0.0028,-0.0034
Uruguay,0.0103,0.0065,-0.0038000000000000004
Italy,0.0409,0.037,-0.0039000000000000007
Spain,0.0915,0.0864,-0.005099999999999993
Belgium,0.0274,0.0208,-0.006600000000000002
Brazil,0.1863,0.1784,-0.00789999999999999
Argentina,0.1609,0.1529,-0.00799999999999998
Netherlands,0.0256,0.0168,-0.008800000000000002
