model,rank,team,group,prob_champion,prob_reach_final,prob_reach_sf
xgboost,1,Brazil,G,0.1784,0.2607,0.3705
xgboost,2,France,D,0.155,0.238,0.3566
xgboost,3,Argentina,C,0.1529,0.2962,0.4505
xgboost,4,Portugal,H,0.1311,0.2272,0.3201
xgboost,5,Spain,E,0.0864,0.1707,0.3369
xgboost,6,Germany,E,0.0784,0.1565,0.3122
xgboost,7,England,J,0.0749,0.1587,0.2863
xgboost,8,Italy,K,0.037,0.1002,0.2122
catboost,1,Brazil,G,0.1829,0.2542,0.3721
catboost,2,Argentina,C,0.1499,0.283,0.4286
catboost,3,France,D,0.1449,0.2244,0.349
catboost,4,Spain,E,0.1084,0.2071,0.3726
catboost,5,Portugal,H,0.1027,0.1746,0.3025
catboost,6,Germany,E,0.0784,0.1682,0.3188
catboost,7,England,J,0.0719,0.1633,0.2878
catboost,8,Italy,K,0.0376,0.0998,0.2208
logistic,1,Brazil,G,0.2156,0.3083,0.4178
logistic,2,Portugal,H,0.1853,0.2929,0.3823
logistic,3,Argentina,C,0.1402,0.2614,0.4307
logistic,4,France,D,0.0936,0.16,0.2642
logistic,5,Germany,E,0.0878,0.1897,0.3813
logistic,6,Spain,E,0.0722,0.1617,0.3504
logistic,7,England,J,0.0594,0.1416,0.2558
logistic,8,Italy,K,0.0572,0.1459,0.2868
elo,1,Argentina,C,0.1992,0.3091,0.4644
elo,2,Brazil,G,0.1373,0.2328,0.3491
elo,3,France,D,0.1347,0.2284,0.3525
elo,4,Spain,E,0.0988,0.1846,0.3326
elo,5,England,J,0.0898,0.1661,0.2959
elo,6,Portugal,H,0.0699,0.1402,0.2395
elo,7,Italy,K,0.0555,0.1239,0.2561
elo,8,Germany,E,0.0523,0.119,0.237
