team,group,prob_champion_seed_2026,prob_reach_final_seed_2026,prob_reach_sf_seed_2026,prob_champion_seed_2027,prob_reach_final_seed_2027,prob_reach_sf_seed_2027,delta_prob_champion,delta_prob_reach_final,delta_prob_reach_sf
Spain,E,0.0482,0.1142,0.2859,0.0533,0.1191,0.2958,0.0051,0.004900000000000002,0.00990000000000002
England,J,0.1828,0.2755,0.3459,0.1782,0.2687,0.3429,-0.004599999999999993,-0.006800000000000028,-0.0030000000000000027
Portugal,H,0.129,0.2534,0.311,0.1245,0.2461,0.3029,-0.004500000000000004,-0.007300000000000001,-0.008099999999999996
Germany,E,0.0428,0.1174,0.2872,0.0466,0.1237,0.2932,0.0038000000000000048,0.0063,0.006000000000000005
Netherlands,I,0.0318,0.0926,0.3248,0.0355,0.0971,0.3253,0.003699999999999995,0.004500000000000004,0.0005000000000000004
Argentina,C,0.1282,0.1866,0.3899,0.1317,0.1925,0.3928,0.003500000000000003,0.005900000000000016,0.002899999999999958
Uruguay,H,0.0049,0.0171,0.0488,0.0021,0.0156,0.0494,-0.0028,-0.0015000000000000013,0.0005999999999999964
Brazil,G,0.1828,0.303,0.4146,0.1807,0.299,0.4149,-0.0020999999999999908,-0.0040000000000000036,0.00029999999999996696
Croatia,F,0.0055,0.0227,0.1019,0.0038,0.0204,0.0997,-0.0016999999999999997,-0.0023,-0.0022000000000000075
Belgium,F,0.0129,0.0505,0.1994,0.0145,0.0508,0.1954,0.0016000000000000007,0.0002999999999999947,-0.0040000000000000036
Mexico,A,0.0094,0.0335,0.0981,0.0084,0.0294,0.0953,-0.0010000000000000009,-0.004100000000000003,-0.002800000000000011
Japan,A,0.0016,0.0063,0.0314,0.0007,0.0064,0.0295,-0.0009000000000000001,0.00010000000000000026,-0.001899999999999999
Sweden,G,0.0005,0.0052,0.0198,0.0014,0.0053,0.0205,0.0009,0.00010000000000000026,0.0006999999999999992
France,D,0.1431,0.2495,0.3333,0.1438,0.2576,0.3405,0.0007000000000000062,0.008099999999999996,0.00720000000000004
Italy,K,0.0183,0.0544,0.1314,0.0178,0.0528,0.1278,-0.0005000000000000004,-0.0015999999999999973,-0.003599999999999992
Austria,L,0.0014,0.0071,0.0296,0.0009,0.0064,0.0287,-0.0005,-0.0007000000000000001,-0.0009000000000000015
Colombia,J,0.0093,0.0331,0.076,0.0088,0.0323,0.0758,-0.0004999999999999987,-0.0007999999999999952,-0.00019999999999999185
Senegal,B,0.0009,0.0031,0.0174,0.0005,0.0029,0.0167,-0.00039999999999999996,-0.0002000000000000001,-0.0006999999999999992
Canada,A,0.0006,0.0046,0.0196,0.0009,0.0048,0.0193,0.00030000000000000003,0.00019999999999999966,-0.0002999999999999982
Serbia,E,0.0024,0.0102,0.0385,0.0026,0.0102,0.0347,0.0002000000000000001,0.0,-0.003799999999999998
USA,B,0.0006,0.0051,0.0256,0.0004,0.0053,0.0273,-0.00019999999999999993,0.00019999999999999966,0.0017000000000000001
Denmark,D,0.0041,0.02,0.0656,0.0043,0.0213,0.0666,0.00019999999999999966,0.001299999999999999,0.0010000000000000009
Norway,K,0.0233,0.0661,0.1463,0.0232,0.0647,0.1427,-0.00010000000000000286,-0.0014000000000000123,-0.00360000000000002
Morocco,A,0.0073,0.0261,0.1077,0.0072,0.0265,0.1103,-0.00010000000000000026,0.0003999999999999976,0.002599999999999991
Egypt,I,0.0,0.0004,0.0021,0.0001,0.0003,0.0019,0.0001,-0.00010000000000000005,-0.00019999999999999987
Turkey,L,0.0002,0.0007,0.0046,0.0001,0.0014,0.0073,-0.0001,0.0007,0.0027
Nigeria,F,0.0002,0.0026,0.0094,0.0001,0.0012,0.0069,-0.0001,-0.0014,-0.0025000000000000005
Uruguay B,L,0.0,0.0002,0.0029,0.0001,0.0002,0.0032,0.0001,0.0,0.00030000000000000035
South Korea,B,0.0001,0.0001,0.0024,0.0,0.0004,0.0023,-0.0001,0.00030000000000000003,-9.999999999999983e-05
Costa Rica,E,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,-0.0001,0.0
