simulation_id,champion,runner_up,semi_finalists
0,Germany,Ecuador,Brazil|Ecuador|Germany|Norway
1,Argentina,Netherlands,Argentina|Colombia|Italy|Netherlands
2,Uruguay,Argentina,Argentina|England|Morocco|Uruguay
3,Argentina,Belgium,Argentina|Belgium|England|USA
4,Denmark,England,Denmark|England|Serbia|Spain
5,Morocco,Brazil,Brazil|Croatia|Morocco|Portugal
6,Uruguay,Brazil,Brazil|England|Mexico|Uruguay
7,Mexico,Argentina,Argentina|Belgium|England|Mexico
8,Brazil,Denmark,Brazil|Denmark|Germany|Morocco
9,Argentina,Belgium,Argentina|Belgium|Germany|Norway
10,Spain,Croatia,Colombia|Croatia|Portugal|Spain
11,England,Mexico,Brazil|Croatia|England|Mexico
12,Switzerland,England,Ecuador|England|Spain|Switzerland
13,Spain,Denmark,Croatia|Denmark|Netherlands|Spain
14,France,Netherlands,England|France|Japan|Netherlands
15,Argentina,Turkey,Argentina|England|Norway|Turkey
16,Croatia,Brazil,Brazil|Croatia|Italy|Norway
17,France,Norway,Croatia|France|Italy|Norway
18,Brazil,Netherlands,Brazil|Colombia|England|Netherlands
19,Netherlands,Brazil,Brazil|Colombia|Italy|Netherlands
20,Argentina,Colombia,Argentina|Colombia|Croatia|Portugal
21,Argentina,Belgium,Argentina|Belgium|Germany|USA
22,Spain,Morocco,England|Morocco|Senegal|Spain
23,Argentina,Colombia,Argentina|Colombia|Italy|Switzerland
24,Switzerland,Argentina,Argentina|Germany|Switzerland|Turkey
25,Brazil,Morocco,Brazil|Croatia|Morocco|Portugal
26,Netherlands,Portugal,Argentina|Colombia|Netherlands|Portugal
27,Spain,Uruguay,Italy|Spain|USA|Uruguay
28,Argentina,Norway,Argentina|Morocco|Norway|Portugal
29,Germany,Uruguay,Brazil|Colombia|Germany|Uruguay
30,Brazil,Uruguay,Austria|Brazil|Germany|Uruguay
31,Portugal,Ecuador,Austria|Ecuador|France|Portugal
32,Argentina,Croatia,Argentina|Croatia|England|Switzerland
33,France,Japan,England|France|Japan|Netherlands
34,Germany,Croatia,Argentina|Austria|Croatia|Germany
35,Colombia,Argentina,Argentina|Colombia|England|Mexico
36,Spain,Serbia,Denmark|Germany|Serbia|Spain
37,Spain,Switzerland,Netherlands|Portugal|Spain|Switzerland
38,Italy,Netherlands,Denmark|France|Italy|Netherlands
39,England,Denmark,Brazil|Denmark|England|Morocco
40,Argentina,Colombia,Argentina|Colombia|England|Uruguay
41,France,Turkey,Denmark|France|Portugal|Turkey
42,Spain,Switzerland,Croatia|Portugal|Spain|Switzerland
43,Uruguay,Argentina,Argentina|England|Mexico|Uruguay
44,Netherlands,Spain,Denmark|England|Netherlands|Spain
45,Germany,Netherlands,Argentina|Germany|Netherlands|Norway
46,Brazil,Croatia,Brazil|Croatia|Portugal|Switzerland
47,Portugal,Netherlands,Brazil|Mexico|Netherlands|Portugal
48,Netherlands,Italy,Argentina|Denmark|Italy|Netherlands
49,Germany,Denmark,Denmark|France|Germany|Uruguay
50,Brazil,Ecuador,Brazil|Ecuador|Italy|Switzerland
51,Belgium,Spain,Belgium|Denmark|England|Spain
52,Belgium,France,Belgium|France|Germany|Morocco
53,Brazil,Morocco,Brazil|Denmark|Germany|Morocco
54,Brazil,Belgium,Belgium|Brazil|Netherlands|Turkey
55,Argentina,Belgium,Argentina|Belgium|England|Switzerland
56,Brazil,Netherlands,Brazil|Germany|Morocco|Netherlands
57,Spain,Croatia,Croatia|Portugal|Spain|USA
58,Belgium,Germany,Austria|Belgium|Germany|Spain
59,France,Uruguay,England|France|Switzerland|Uruguay
60,Morocco,Argentina,Argentina|Germany|Morocco|Norway
61,Japan,Argentina,Argentina|Japan|Portugal|Uruguay
62,Argentina,Croatia,Argentina|Croatia|Italy|Switzerland
63,Brazil,Netherlands,Brazil|Morocco|Netherlands|Portugal
64,Germany,Uruguay,Argentina|Denmark|Germany|Uruguay
65,England,Netherlands,Brazil|Colombia|England|Netherlands
66,France,Netherlands,France|Germany|Netherlands|Norway
67,Denmark,France,Denmark|France|Germany|Switzerland
68,France,Switzerland,France|Scotland|Switzerland|Uruguay
69,Brazil,Netherlands,Brazil|Colombia|Italy|Netherlands
70,Brazil,Austria,Austria|Brazil|England|Senegal
71,Brazil,Norway,Brazil|England|Netherlands|Norway
72,Portugal,Croatia,Argentina|Croatia|Portugal|Sweden
73,France,Mexico,Croatia|France|Mexico|Portugal
74,Brazil,Netherlands,Brazil|Denmark|England|Netherlands
75,France,Austria,Austria|France|Germany|Switzerland
76,Argentina,Senegal,Argentina|Ecuador|Ivory Coast|Senegal
77,Netherlands,Germany,Brazil|Germany|Morocco|Netherlands
78,Portugal,Uruguay,Denmark|France|Portugal|Uruguay
79,Belgium,Argentina,Argentina|Belgium|England|Mexico
80,Argentina,Netherlands,Argentina|England|Netherlands|Norway
81,Germany,Sweden,France|Germany|Sweden|Uruguay
82,Brazil,Croatia,Brazil|Croatia|Morocco|Portugal
83,Argentina,Colombia,Argentina|Colombia|Italy|Netherlands
84,Argentina,Morocco,Argentina|England|Morocco|Norway
85,Argentina,Norway,Argentina|England|Norway|USA
86,Portugal,Japan,France|Japan|Netherlands|Portugal
87,Netherlands,Germany,Brazil|Germany|Netherlands|Sweden
88,Argentina,Netherlands,Argentina|Morocco|Netherlands|Portugal
89,Brazil,Belgium,Belgium|Brazil|Germany|Switzerland
90,Portugal,Morocco,Brazil|Morocco|Portugal|Switzerland
91,Spain,Morocco,Chile|Germany|Morocco|Spain
92,Brazil,Colombia,Brazil|Colombia|England|Morocco
93,Brazil,Belgium,Belgium|Brazil|Italy|Mexico
94,Portugal,USA,Brazil|Chile|Portugal|USA
95,Netherlands,Germany,Brazil|Germany|Netherlands|Norway
96,Spain,Ukraine,Austria|England|Spain|Ukraine
97,Brazil,Morocco,Brazil|Germany|Morocco|Sweden
98,Argentina,Belgium,Argentina|Belgium|Ecuador|England
99,Brazil,Netherlands,Austria|Brazil|Germany|Netherlands
100,Argentina,Belgium,Argentina|Belgium|England|Switzerland
101,England,Morocco,Brazil|England|Morocco|Sweden
102,Japan,England,England|France|Japan|Netherlands
103,Portugal,Mexico,Argentina|Croatia|Mexico|Portugal
104,Brazil,Netherlands,Brazil|Denmark|Netherlands|Portugal
105,Canada,Morocco,Argentina|Belgium|Canada|Morocco
106,Argentina,Morocco,Argentina|Germany|Morocco|Norway
107,Brazil,Netherlands,Brazil|Germany|Mexico|Netherlands
108,Spain,Colombia,Colombia|Italy|Morocco|Spain
109,Brazil,Belgium,Austria|Belgium|Brazil|Portugal
110,Belgium,Argentina,Argentina|Belgium|Japan|Portugal
111,Germany,Uruguay,Argentina|Denmark|Germany|Uruguay
112,Netherlands,Belgium,Belgium|Denmark|France|Netherlands
113,Italy,Netherlands,Argentina|Italy|Mexico|Netherlands
