team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
Argentina,C,7.8834,0.8692,0.1035,0.0235,0.9938,0.9159,0.6136,0.4209,0.321,0.2806
Brazil,G,7.7468,0.8603,0.113,0.0223,0.9933,0.916,0.3638,0.2515,0.1911,0.1676
France,D,7.9612,0.8751,0.1077,0.0144,0.9956,0.9231,0.6673,0.2392,0.1768,0.1552
England,J,6.8848,0.7419,0.175,0.0652,0.9728,0.8506,0.466,0.3283,0.1086,0.0838
Portugal,H,6.9757,0.7207,0.2102,0.0581,0.9807,0.8572,0.4657,0.279,0.0803,0.058
Netherlands,I,6.9696,0.7411,0.1914,0.054,0.9782,0.7986,0.5301,0.3485,0.2369,0.0519
Spain,E,7.4515,0.7626,0.1959,0.0366,0.9907,0.9051,0.3076,0.0812,0.0533,0.0442
Germany,E,5.1206,0.1974,0.5486,0.1923,0.8863,0.7539,0.5001,0.2245,0.0444,0.0312
Belgium,F,5.4637,0.4218,0.3258,0.1939,0.8971,0.652,0.2787,0.1702,0.1131,0.018
Croatia,F,5.1163,0.3547,0.3214,0.2349,0.861,0.5576,0.3161,0.1425,0.0906,0.0165
Uruguay,H,4.6499,0.1998,0.4391,0.2391,0.8061,0.5206,0.2769,0.1307,0.0797,0.0148
Italy,K,6.7515,0.7081,0.2087,0.0643,0.971,0.8087,0.3572,0.1123,0.0163,0.012
Morocco,A,4.9883,0.377,0.2769,0.2073,0.8221,0.5053,0.2817,0.1308,0.0641,0.009
Denmark,D,4.4868,0.0914,0.541,0.2568,0.8135,0.4645,0.2612,0.1553,0.0612,0.0089
Switzerland,G,4.0408,0.0788,0.4515,0.3039,0.7444,0.4417,0.2399,0.1189,0.0502,0.0079
Austria,L,5.3122,0.4211,0.2587,0.192,0.8373,0.4276,0.2144,0.1073,0.0416,0.0078
Colombia,J,3.6764,0.1246,0.3404,0.3068,0.6558,0.3924,0.198,0.0913,0.0353,0.0061
Norway,K,3.9156,0.1543,0.3344,0.2829,0.6872,0.3414,0.1687,0.0869,0.0345,0.0053
Mexico,A,4.4747,0.287,0.2771,0.2393,0.7496,0.4393,0.241,0.1361,0.0509,0.0049
Japan,A,3.9346,0.2021,0.2643,0.2821,0.6734,0.3251,0.1563,0.0778,0.0296,0.0039
USA,B,4.3102,0.2607,0.2604,0.2594,0.7226,0.2934,0.1308,0.0508,0.0197,0.0022
Turkey,L,4.5278,0.2718,0.2994,0.2459,0.7609,0.282,0.111,0.0386,0.0129,0.0021
Senegal,B,4.4416,0.2729,0.2824,0.2518,0.7466,0.2977,0.1265,0.0492,0.0158,0.0018
Sweden,G,3.1243,0.0414,0.2853,0.3831,0.576,0.2317,0.1056,0.0408,0.0124,0.0015
Ecuador,C,4.0131,0.0771,0.4568,0.2907,0.7259,0.2358,0.0884,0.0296,0.0103,0.001
Ukraine,J,3.1713,0.0765,0.2788,0.3277,0.5535,0.1958,0.0802,0.0308,0.0117,0.0007
Chile,I,4.1394,0.1377,0.3798,0.296,0.7362,0.2171,0.0748,0.0235,0.0091,0.0007
Nigeria,F,4.0271,0.1907,0.2623,0.3482,0.7117,0.1907,0.064,0.0188,0.0053,0.0006
South Korea,B,4.8815,0.3543,0.2661,0.2226,0.7988,0.2102,0.0707,0.0226,0.0069,0.0004
Serbia,E,2.7479,0.0312,0.1783,0.4768,0.4847,0.1541,0.0636,0.0239,0.0093,0.0003
Canada,A,3.1381,0.1339,0.1817,0.2713,0.5074,0.065,0.0166,0.0044,0.0003,0.0002
Poland,C,2.8149,0.0336,0.2495,0.3641,0.4877,0.0951,0.027,0.007,0.0017,0.0002
Egypt,I,3.2099,0.0806,0.2498,0.3522,0.5726,0.1012,0.0262,0.0067,0.0019,0.0002
Cameroon,G,2.1192,0.0195,0.1502,0.2907,0.3409,0.043,0.0101,0.0024,0.0003,0.0001
Peru,D,2.296,0.0174,0.1726,0.3708,0.3748,0.0278,0.004,0.0002,0.0002,0.0001
Wales,B,3.0012,0.1121,0.1911,0.2662,0.4889,0.0593,0.0127,0.0026,0.0005,0.0001
Scotland,L,3.9373,0.203,0.2564,0.2793,0.6642,0.0894,0.0245,0.0057,0.0016,0.0001
Iran,H,2.5445,0.0407,0.1768,0.3547,0.4267,0.0453,0.007,0.0013,0.0002,0.0001
Tunisia,D,2.3225,0.0161,0.1787,0.358,0.3795,0.0255,0.0038,0.0001,0.0,0.0
Australia,C,2.317,0.0201,0.1902,0.3217,0.3799,0.0259,0.003,0.0009,0.0001,0.0
Ghana,H,2.5354,0.0388,0.1739,0.3481,0.421,0.0351,0.0039,0.0006,0.0,0.0
Saudi Arabia,F,1.8658,0.0328,0.0905,0.223,0.2658,0.0227,0.0028,0.0002,0.0,0.0
Costa Rica,E,1.6099,0.0088,0.0772,0.2943,0.2259,0.0152,0.0019,0.0001,0.0,0.0
Qatar,I,2.4891,0.0406,0.179,0.2978,0.409,0.0274,0.0031,0.0005,0.0,0.0
Algeria,J,2.6354,0.057,0.2058,0.3003,0.4333,0.0584,0.009,0.002,0.0,0.0
Ivory Coast,K,3.06,0.0731,0.2406,0.3343,0.5279,0.0716,0.0161,0.003,0.0003,0.0
Panama,K,2.8207,0.0645,0.2163,0.3185,0.4843,0.0442,0.0043,0.0002,0.0,0.0
Uruguay B,L,2.9553,0.1041,0.1855,0.2828,0.4834,0.0428,0.0041,0.0003,0.0,0.0
