n_estimators,max_depth,learning_rate,log_loss,accuracy,brier
200,3,0.03,0.9453161118953802,0.5761363636363637,0.5508925259065424
200,4,0.03,0.9632239614614803,0.5630681818181819,0.560576125927174
200,3,0.05,0.970446455563625,0.5539772727272727,0.5626563307782272
200,6,0.03,0.9777105399409335,0.5585227272727272,0.5668907770629863
400,3,0.03,0.9859153315227634,0.5590909090909091,0.5700828202001382
200,4,0.05,1.0011992843806632,0.5494318181818182,0.5784012986058312
400,4,0.03,1.0184946876718308,0.5568181818181818,0.5839989789715346
600,3,0.03,1.0228288168764919,0.5596590909090909,0.5843712503362667
400,3,0.05,1.0326382899525588,0.553409090909091,0.5866302427217578
200,6,0.05,1.034385069383266,0.5573863636363636,0.5911138729003408
200,3,0.1,1.0350888788249524,0.55625,0.5889049895418108
400,6,0.03,1.0604506789245476,0.55625,0.5990068175440781
600,4,0.03,1.0744777209165723,0.5488636363636363,0.6034759131288648
400,4,0.05,1.0901691226220431,0.5465909090909091,0.6094600570209402
600,3,0.05,1.0970648524286937,0.5517045454545455,0.6083131595452075
200,4,0.1,1.0991315699446242,0.5488636363636363,0.6116996883386233
600,6,0.03,1.1419226168458814,0.5454545454545454,0.623035801414491
400,3,0.1,1.1626464782929404,0.5357954545454545,0.627345277676549
400,6,0.05,1.1641353369368532,0.5454545454545454,0.6305173428580585
200,6,0.1,1.171135297580136,0.540340909090909,0.6322424237243653
600,4,0.05,1.1816780002998346,0.5443181818181818,0.6345375590984446
600,3,0.1,1.2794497596490482,0.5409090909090909,0.6547420179829462
600,6,0.05,1.2845712533112061,0.5465909090909091,0.65944477560877
400,4,0.1,1.2848763764867543,0.5392045454545454,0.6590096898850881
400,6,0.1,1.3942324805812105,0.5409090909090909,0.6795639048102707
600,4,0.1,1.4441728022086375,0.5329545454545455,0.6913195771561357
600,6,0.1,1.5571512679361257,0.5426136363636364,0.7068274888899884
