match_id,stage,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob
1,group,Mexico,Canada,0.6229,0.0926,0.2845
2,group,Morocco,Japan,0.6652,0.1556,0.1792
3,group,Mexico,Morocco,0.226,0.2642,0.5098
4,group,Canada,Japan,0.3198,0.3164,0.3638
5,group,Mexico,Japan,0.3409,0.2293,0.4298
6,group,Canada,Morocco,0.2327,0.2146,0.5528
7,group,USA,Wales,0.5154,0.1976,0.2871
8,group,Senegal,South Korea,0.2535,0.1956,0.5508
9,group,USA,Senegal,0.303,0.3266,0.3704
10,group,Wales,South Korea,0.0923,0.1118,0.7959
11,group,USA,South Korea,0.2242,0.1895,0.5862
12,group,Wales,Senegal,0.1344,0.3057,0.5598
13,group,Argentina,Australia,0.9622,0.0139,0.024
14,group,Poland,Ecuador,0.1506,0.213,0.6365
15,group,Argentina,Poland,0.8727,0.0761,0.0512
16,group,Australia,Ecuador,0.1072,0.1288,0.764
17,group,Argentina,Ecuador,0.9042,0.0321,0.0637
18,group,Australia,Poland,0.2507,0.5129,0.2364
19,group,France,Denmark,0.9012,0.0761,0.0227
20,group,Tunisia,Peru,0.3278,0.3098,0.3624
21,group,France,Tunisia,0.9457,0.0477,0.0067
22,group,Denmark,Peru,0.7551,0.1657,0.0792
23,group,France,Peru,0.9603,0.0339,0.0057
24,group,Denmark,Tunisia,0.6528,0.0551,0.2921
25,group,Spain,Costa Rica,0.9368,0.0597,0.0035
26,group,Germany,Serbia,0.6671,0.1816,0.1512
27,group,Spain,Germany,0.7169,0.1251,0.158
28,group,Costa Rica,Serbia,0.0769,0.2676,0.6555
29,group,Spain,Serbia,0.9147,0.0732,0.012
30,group,Costa Rica,Germany,0.0738,0.3576,0.5685
31,group,Belgium,Croatia,0.2222,0.5868,0.1911
32,group,Saudi Arabia,Nigeria,0.1304,0.1312,0.7383
33,group,Belgium,Saudi Arabia,0.4056,0.5707,0.0237
34,group,Croatia,Nigeria,0.3383,0.2336,0.4281
35,group,Belgium,Nigeria,0.374,0.2792,0.3468
36,group,Croatia,Saudi Arabia,0.5436,0.3965,0.0599
37,group,Brazil,Switzerland,0.8978,0.0908,0.0113
38,group,Cameroon,Sweden,0.1726,0.1121,0.7153
39,group,Brazil,Cameroon,0.9558,0.0323,0.0119
40,group,Switzerland,Sweden,0.588,0.261,0.151
41,group,Brazil,Sweden,0.8172,0.1623,0.0205
42,group,Switzerland,Cameroon,0.8053,0.0565,0.1382
43,group,Portugal,Ghana,0.8794,0.1042,0.0165
44,group,Uruguay,Iran,0.4677,0.3505,0.1818
45,group,Portugal,Uruguay,0.5665,0.3538,0.0797
46,group,Ghana,Iran,0.3731,0.2747,0.3522
47,group,Portugal,Iran,0.8239,0.1495,0.0267
48,group,Ghana,Uruguay,0.2924,0.1606,0.547
49,group,Netherlands,Qatar,0.2876,0.6994,0.013
50,group,Egypt,Chile,0.1776,0.1523,0.6701
51,group,Netherlands,Egypt,0.6644,0.2986,0.037
52,group,Qatar,Chile,0.2849,0.0693,0.6458
53,group,Netherlands,Chile,0.8164,0.1133,0.0703
54,group,Qatar,Egypt,0.2229,0.2133,0.5638
55,group,England,Ukraine,0.8226,0.1187,0.0587
56,group,Algeria,Colombia,0.2057,0.592,0.2023
57,group,England,Algeria,0.7544,0.1384,0.1072
58,group,Ukraine,Colombia,0.212,0.5991,0.1889
59,group,England,Colombia,0.5056,0.4572,0.0371
60,group,Ukraine,Algeria,0.3429,0.5715,0.0856
61,group,Italy,Norway,0.6357,0.3077,0.0567
62,group,Ivory Coast,Panama,0.2006,0.3987,0.4008
63,group,Italy,Ivory Coast,0.8038,0.1616,0.0346
64,group,Norway,Panama,0.2373,0.2528,0.5099
65,group,Italy,Panama,0.4987,0.4549,0.0464
66,group,Norway,Ivory Coast,0.333,0.2332,0.4339
67,group,Uruguay B,Turkey,0.2471,0.2071,0.5458
68,group,Austria,Scotland,0.3104,0.0835,0.6061
69,group,Uruguay B,Austria,0.1195,0.3893,0.4912
70,group,Turkey,Scotland,0.5477,0.314,0.1384
71,group,Uruguay B,Scotland,0.1883,0.3397,0.472
72,group,Turkey,Austria,0.1893,0.1254,0.6854
