simulation_id,champion,runner_up,semi_finalists
0,Argentina,USA,Argentina|Italy|USA|Uruguay
1,France,Japan,Egypt|France|Japan|Uruguay
2,Brazil,Switzerland,Brazil|Italy|Netherlands|Switzerland
3,France,Austria,Austria|France|Germany|Netherlands
4,Portugal,Netherlands,Colombia|Netherlands|Portugal|Spain
5,France,Netherlands,France|Netherlands|Portugal|Switzerland
6,Argentina,Uruguay,Argentina|Italy|Norway|Uruguay
7,Croatia,Portugal,Croatia|Portugal|Spain|Sweden
8,Brazil,Colombia,Brazil|Colombia|England|Uruguay
9,Japan,France,France|Germany|Japan|Uruguay
10,France,Mexico,Croatia|France|Mexico|Portugal
11,Argentina,Netherlands,Argentina|England|Netherlands|Sweden
12,Brazil,Netherlands,Brazil|Italy|Netherlands|Turkey
13,Spain,Colombia,Colombia|Portugal|Spain|Uruguay
14,France,Netherlands,Colombia|France|Netherlands|Portugal
15,England,Mexico,Argentina|Croatia|England|Mexico
16,England,Croatia,Argentina|Croatia|Denmark|England
17,France,Netherlands,France|Netherlands|Portugal|Ukraine
18,France,Belgium,Belgium|England|France|Switzerland
19,Brazil,Colombia,Brazil|Colombia|Italy|Uruguay
20,Italy,Netherlands,Argentina|Italy|Netherlands|Switzerland
21,Mexico,England,England|Mexico|Spain|Uruguay
22,France,Belgium,Belgium|England|France|Morocco
23,Italy,Uruguay,Brazil|Colombia|Italy|Uruguay
24,Brazil,Senegal,Brazil|Germany|Morocco|Senegal
25,England,Uruguay,England|Iran|Mexico|Uruguay
26,France,Morocco,France|Italy|Morocco|Netherlands
27,France,Egypt,Egypt|France|Germany|Mexico
28,England,Morocco,England|France|Morocco|Turkey
29,Spain,Netherlands,Netherlands|Portugal|Spain|USA
30,Croatia,Brazil,Brazil|Croatia|Denmark|South Korea
31,Argentina,Norway,Argentina|Croatia|Italy|Norway
32,Brazil,Netherlands,Brazil|Germany|Netherlands|Norway
33,England,Netherlands,England|France|Mexico|Netherlands
34,Portugal,Colombia,Argentina|Colombia|Netherlands|Portugal
35,Germany,Netherlands,Argentina|Germany|Netherlands|Switzerland
36,Netherlands,France,France|Japan|Netherlands|Portugal
37,Argentina,Austria,Argentina|Austria|Italy|Netherlands
38,Netherlands,Switzerland,Brazil|Netherlands|Switzerland|Uruguay
39,Brazil,Belgium,Belgium|Brazil|England|Ukraine
40,France,Senegal,France|Netherlands|Portugal|Senegal
41,Argentina,Austria,Argentina|Austria|Belgium|England
42,Austria,Argentina,Argentina|Austria|England|Morocco
43,Argentina,Belgium,Argentina|Belgium|Germany|Senegal
44,Denmark,France,Croatia|Denmark|France|Italy
45,France,Netherlands,France|Morocco|Netherlands|Portugal
46,Netherlands,Brazil,Brazil|Denmark|Germany|Netherlands
47,Argentina,Norway,Argentina|Belgium|England|Norway
48,Argentina,Norway,Argentina|Croatia|Italy|Norway
49,Netherlands,Germany,Brazil|Germany|Netherlands|USA
50,Japan,Spain,Croatia|England|Japan|Spain
51,Brazil,Denmark,Brazil|Denmark|England|Uruguay
52,France,Netherlands,France|Japan|Netherlands|Poland
53,Brazil,Turkey,Brazil|Colombia|England|Turkey
54,Austria,Argentina,Argentina|Austria|Germany|Netherlands
55,France,Mexico,Croatia|France|Germany|Mexico
56,Brazil,Croatia,Brazil|Colombia|Croatia|England
57,Spain,Serbia,Germany|Serbia|Spain|USA
58,Spain,Mexico,England|Mexico|Morocco|Spain
59,Argentina,Uruguay,Argentina|Mexico|Portugal|Uruguay
60,Switzerland,Argentina,Argentina|Croatia|Germany|Switzerland
61,England,Denmark,Argentina|Croatia|Denmark|England
62,Netherlands,Italy,Austria|France|Italy|Netherlands
63,Argentina,Belgium,Argentina|Belgium|Colombia|Italy
64,Italy,Austria,Austria|France|Italy|Nigeria
65,Netherlands,Brazil,Brazil|England|Netherlands|Switzerland
66,Netherlands,England,Brazil|England|Netherlands|Senegal
67,Netherlands,Spain,England|Netherlands|Spain|Ukraine
68,England,Uruguay,Brazil|England|Mexico|Uruguay
69,France,Mexico,France|Italy|Mexico|Netherlands
70,Switzerland,Italy,Italy|Spain|Switzerland|Uruguay
71,Netherlands,Brazil,Brazil|Colombia|Germany|Netherlands
72,Switzerland,Spain,Portugal|Spain|Switzerland|Uruguay
73,Croatia,Germany,Argentina|Austria|Croatia|Germany
74,Belgium,Portugal,Belgium|Portugal|Spain|Sweden
75,England,Japan,Brazil|England|Japan|Uruguay
76,Italy,Denmark,Argentina|Denmark|Italy|Uruguay
77,Spain,Turkey,Belgium|Portugal|Spain|Turkey
78,Croatia,Argentina,Argentina|Croatia|Germany|Sweden
79,Brazil,Mexico,Brazil|Mexico|Netherlands|Portugal
80,Belgium,Argentina,Argentina|Belgium|England|Norway
81,Argentina,Switzerland,Argentina|Ecuador|England|Switzerland
82,Argentina,Uruguay,Argentina|England|Ukraine|Uruguay
83,Uruguay,France,Denmark|England|France|Uruguay
84,Argentina,Belgium,Argentina|Belgium|Denmark|England
85,Argentina,Switzerland,Argentina|England|Switzerland|Uruguay
86,Netherlands,England,England|France|Netherlands|Switzerland
87,Brazil,Senegal,Brazil|Croatia|England|Senegal
88,Brazil,Uruguay,Brazil|Colombia|Portugal|Uruguay
89,Brazil,Uruguay,Brazil|Germany|Switzerland|Uruguay
90,Uruguay,England,Austria|England|Spain|Uruguay
91,England,Uruguay,Brazil|England|Morocco|Uruguay
92,Netherlands,Italy,Argentina|Italy|Netherlands|Switzerland
93,Brazil,Belgium,Belgium|Brazil|Italy|Morocco
94,Belgium,Portugal,Belgium|Brazil|Norway|Portugal
