team,group,expected_group_points,prob_group_1st,prob_group_2nd,prob_group_3rd,prob_reach_r32,prob_reach_r16,prob_reach_qf,prob_reach_sf,prob_reach_final,prob_champion
Argentina,C,8.343,0.9089,0.0833,0.0069,0.9987,0.9331,0.6326,0.464,0.3692,0.3443
Brazil,G,8.3084,0.9359,0.0566,0.007,0.9993,0.9588,0.3601,0.2779,0.205,0.191
France,D,8.59,0.9555,0.0429,0.0016,0.9999,0.9741,0.769,0.2144,0.1666,0.157
England,J,6.9311,0.8248,0.1225,0.0394,0.9829,0.8823,0.4722,0.3705,0.1214,0.1001
Portugal,H,7.3918,0.8286,0.1462,0.0225,0.9952,0.8917,0.4824,0.3003,0.0756,0.0586
Spain,E,7.9505,0.8277,0.1591,0.0127,0.999,0.9547,0.2256,0.0431,0.0298,0.027
Germany,E,4.887,0.1569,0.5896,0.2003,0.8744,0.7631,0.616,0.2466,0.0273,0.0204
Netherlands,I,6.41,0.6955,0.2355,0.0581,0.9777,0.7787,0.4346,0.2675,0.1799,0.0197
Belgium,F,4.4566,0.2814,0.3254,0.2952,0.802,0.5901,0.3283,0.1936,0.1393,0.0119
Croatia,F,4.4032,0.2669,0.3275,0.2891,0.8008,0.5458,0.3249,0.1625,0.1115,0.0103
Austria,L,5.0555,0.3734,0.2763,0.2306,0.8484,0.5064,0.2757,0.1531,0.0606,0.0096
Uruguay,H,4.1528,0.1188,0.4534,0.2723,0.7659,0.4648,0.238,0.1223,0.0804,0.0088
Morocco,A,5.8266,0.5136,0.2627,0.1522,0.9114,0.573,0.3261,0.1671,0.0854,0.0081
Denmark,D,4.594,0.0384,0.6348,0.236,0.8459,0.5016,0.3076,0.1886,0.0686,0.0067
Switzerland,G,4.6353,0.0436,0.6242,0.2536,0.8765,0.5637,0.3449,0.1736,0.0795,0.0059
Colombia,J,2.9348,0.0514,0.3268,0.3359,0.553,0.3522,0.1736,0.0824,0.0338,0.0049
Norway,K,2.6616,0.06,0.2005,0.3086,0.4729,0.2384,0.1262,0.0601,0.0195,0.0025
Senegal,B,4.3785,0.2201,0.3322,0.2998,0.7722,0.3078,0.1257,0.0462,0.0134,0.0018
Japan,A,3.6118,0.1526,0.2534,0.2953,0.6226,0.2407,0.1068,0.0483,0.0161,0.0017
USA,B,3.8476,0.163,0.2851,0.3105,0.6823,0.2616,0.1146,0.0508,0.0181,0.0016
Italy,K,6.7649,0.7522,0.1906,0.0476,0.9857,0.8341,0.265,0.048,0.0022,0.0016
Mexico,A,4.1485,0.2195,0.2785,0.2675,0.7211,0.4076,0.1947,0.0936,0.033,0.0014
Nigeria,F,5.2002,0.4254,0.2655,0.2163,0.8749,0.3205,0.1038,0.0281,0.0063,0.0013
Sweden,G,3.1912,0.0189,0.2591,0.5238,0.6674,0.2426,0.0941,0.0315,0.0087,0.0008
Turkey,L,4.5145,0.2702,0.2914,0.2534,0.7739,0.2931,0.105,0.0357,0.0131,0.0008
Ecuador,C,4.7498,0.0738,0.6465,0.2077,0.8737,0.2941,0.1061,0.0359,0.011,0.0005
Ukraine,J,3.1471,0.0679,0.3324,0.3204,0.5559,0.1317,0.0452,0.0171,0.0052,0.0004
Ivory Coast,K,2.7954,0.0509,0.2164,0.3515,0.5066,0.057,0.0122,0.0025,0.0003,0.0003
South Korea,B,6.2526,0.5755,0.2522,0.127,0.9421,0.2575,0.0874,0.0222,0.0062,0.0003
Serbia,E,2.9792,0.0141,0.2081,0.5681,0.5946,0.1527,0.0601,0.021,0.0076,0.0003
Chile,I,4.5226,0.1931,0.3916,0.2619,0.8033,0.2158,0.0614,0.0158,0.0037,0.0002
Poland,C,2.114,0.0117,0.1566,0.4257,0.3336,0.0607,0.0163,0.0043,0.0006,0.0001
Wales,B,2.1914,0.0414,0.1305,0.2627,0.3492,0.0308,0.0054,0.0009,0.0001,0.0001
Tunisia,D,2.2826,0.0045,0.2128,0.3703,0.4121,0.0128,0.0012,0.0001,0.0,0.0
Australia,C,1.8207,0.0056,0.1136,0.3597,0.2652,0.0061,0.0009,0.0005,0.0001,0.0
Canada,A,3.1513,0.1143,0.2054,0.285,0.5366,0.0387,0.0074,0.0008,0.0,0.0
Peru,D,1.8554,0.0016,0.1095,0.3921,0.3082,0.0078,0.0005,0.0,0.0,0.0
Costa Rica,E,1.1305,0.0013,0.0432,0.2189,0.1161,0.002,0.0002,0.0,0.0,0.0
Cameroon,G,1.1621,0.0016,0.0601,0.2156,0.1919,0.0125,0.0015,0.0004,0.0,0.0
Saudi Arabia,F,1.7506,0.0263,0.0816,0.1994,0.2168,0.0134,0.0011,0.0002,0.0,0.0
Iran,H,2.4747,0.0241,0.1911,0.3579,0.4309,0.0225,0.0023,0.0005,0.0001,0.0
Ghana,H,2.5818,0.0285,0.2093,0.3473,0.4643,0.0184,0.0016,0.0003,0.0,0.0
Qatar,I,2.518,0.0447,0.1865,0.2763,0.4282,0.0205,0.0008,0.0001,0.0,0.0
Egypt,I,3.0004,0.0667,0.1864,0.4037,0.5566,0.07,0.0148,0.0035,0.0005,0.0
Algeria,J,2.5089,0.0559,0.2183,0.3043,0.3976,0.0438,0.0043,0.0009,0.0001,0.0
Panama,K,3.9764,0.1369,0.3925,0.2923,0.7313,0.0557,0.0041,0.0,0.0,0.0
Uruguay B,L,2.5731,0.0779,0.1499,0.2566,0.4086,0.0146,0.0013,0.0,0.0,0.0
Scotland,L,4.4064,0.2785,0.2824,0.2594,0.7726,0.0804,0.0164,0.0032,0.0002,0.0
