n_estimators,max_depth,learning_rate,log_loss,accuracy,brier
200,3,0.03,0.9851323753075063,0.5544,0.5835998691140638
200,4,0.03,0.9973159394027938,0.5512,0.5898431035319167
200,3,0.05,1.0148852894609883,0.544,0.5979101607627203
200,6,0.03,1.0283707261395918,0.5384,0.6058590406763351
400,3,0.03,1.0335077822164835,0.5392,0.6068601219983129
200,4,0.05,1.0457431719742547,0.5336,0.6111948790933941
400,4,0.03,1.065050392798884,0.5272,0.6199273269847093
600,3,0.03,1.0810872852621902,0.5304,0.626406745127953
200,6,0.05,1.0923067788412428,0.5208,0.6326612232163007
400,3,0.05,1.0958872572325433,0.5192,0.6323816130270812
200,3,0.1,1.0984149565522374,0.5128,0.6349522679208464
400,6,0.03,1.1157659571610765,0.5216,0.6406337051833971
600,4,0.03,1.1252171815577912,0.5088,0.6419128831853186
400,4,0.05,1.1507717260051078,0.5032,0.651849137041492
200,4,0.1,1.1546957397549562,0.5008,0.656841876379634
600,3,0.05,1.1665909057380544,0.5008,0.6564500566904862
600,6,0.03,1.188993005446232,0.5144,0.6648214579086485
400,6,0.05,1.2163872712917685,0.5152,0.6748842812846663
200,6,0.1,1.2287518835178532,0.5032,0.678374733044387
600,4,0.05,1.2330075340105406,0.5032,0.6780707627923037
400,3,0.1,1.2381200565906414,0.496,0.6832035190713533
600,6,0.05,1.3095334974888664,0.5072,0.7002669007358425
400,4,0.1,1.310059734702341,0.492,0.7024385337748119
600,3,0.1,1.347670361801491,0.4744,0.7146215640324459
400,6,0.1,1.3889161217991086,0.4952,0.7207602433131278
600,4,0.1,1.4294211685594438,0.4912,0.7321563924749238
600,6,0.1,1.4935650819535309,0.5,0.7423995536644802
